"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"GO:0090130","tissue migration","2/38","11/1871",0.181818181818182,8.95215311004785,3.80764080995666,0.0196865266960685,0.64558230648142,0.63525670536497,"BMPR2/RAB11A",2,"BMPR2;RAB11A"
"GO:0090132","epithelium migration","2/38","11/1871",0.181818181818182,8.95215311004785,3.80764080995666,0.0196865266960685,0.64558230648142,0.63525670536497,"BMPR2/RAB11A",2,"BMPR2;RAB11A"
"GO:1902414","protein localization to cell junction","2/38","11/1871",0.181818181818182,8.95215311004785,3.80764080995666,0.0196865266960685,0.64558230648142,0.63525670536497,"GIT1/RAB11A",2,"GIT1;RAB11A"
"GO:0120036","plasma membrane bounded cell projection organization","7/38","143/1871",0.048951048951049,2.4101950680898,2.52584508105698,0.0222048899526444,0.67215246371245,0.661401893010535,"SOS1/BMPR2/KREMEN1/ARF1/ZMYND8/GIT1/RAB11A",7,"SOS1;BMPR2;KREMEN1;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0048666","neuron development","6/38","112/1871",0.0535714285714286,2.63768796992481,2.57299308785039,0.0230273986207482,0.67215246371245,0.661401893010535,"SOS1/BMPR2/KREMEN1/ZMYND8/GIT1/RAB11A",6,"SOS1;BMPR2;KREMEN1;ZMYND8;GIT1;RAB11A"
"GO:0032273","positive regulation of protein polymerization","2/38","12/1871",0.166666666666667,8.20614035087719,3.60483186761075,0.0233239025262995,0.67215246371245,0.661401893010535,"FCHSD2/GIT1",2,"FCHSD2;GIT1"
"GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","2/38","12/1871",0.166666666666667,8.20614035087719,3.60483186761075,0.0233239025262995,0.67215246371245,0.661401893010535,"ZMYND8/RAB11A",2,"ZMYND8;RAB11A"
"GO:0090066","regulation of anatomical structure size","4/38","57/1871",0.0701754385964912,3.45521698984303,2.70981745729028,0.0264387697249968,0.681294137547345,0.670397352680934,"LAMTOR4/BMPR2/FCHSD2/RARG",4,"LAMTOR4;BMPR2;FCHSD2;RARG"
"GO:0003206","cardiac chamber morphogenesis","2/38","13/1871",0.153846153846154,7.5748987854251,3.42427994304806,0.02721510667624,0.681294137547345,0.670397352680934,"SOS1/BMPR2",2,"SOS1;BMPR2"
"GO:0021782","glial cell development","2/38","13/1871",0.153846153846154,7.5748987854251,3.42427994304806,0.02721510667624,0.681294137547345,0.670397352680934,"SOS1/PRX",2,"SOS1;PRX"
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","2/38","13/1871",0.153846153846154,7.5748987854251,3.42427994304806,0.02721510667624,0.681294137547345,0.670397352680934,"GIT1/RAB11A",2,"GIT1;RAB11A"
"GO:0030030","cell projection organization","7/38","149/1871",0.0469798657718121,2.31314023313317,2.40502191208184,0.0272231095970548,0.681294137547345,0.670397352680934,"SOS1/BMPR2/KREMEN1/ARF1/ZMYND8/GIT1/RAB11A",7,"SOS1;BMPR2;KREMEN1;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0071806","protein transmembrane transport","2/38","14/1871",0.142857142857143,7.03383458646617,3.26199157616508,0.0313489002488759,0.682580091447175,0.67166273871995,"TOMM40/RAB11A",2,"TOMM40;RAB11A"
"GO:0043010","camera-type eye development","3/38","35/1871",0.0857142857142857,4.2203007518797,2.7683786181684,0.0323406287143443,0.682580091447175,0.67166273871995,"SOS1/BMPR2/RARG",3,"SOS1;BMPR2;RARG"
"GO:0002062","chondrocyte differentiation","2/38","15/1871",0.133333333333333,6.56491228070175,3.11491597224033,0.0357143753054511,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
"GO:0007411","axon guidance","2/38","15/1871",0.133333333333333,6.56491228070175,3.11491597224033,0.0357143753054511,0.682580091447175,0.67166273871995,"SOS1/BMPR2",2,"SOS1;BMPR2"
"GO:0051310","metaphase chromosome alignment","2/38","15/1871",0.133333333333333,6.56491228070175,3.11491597224033,0.0357143753054511,0.682580091447175,0.67166273871995,"KIF22/RAB11A",2,"KIF22;RAB11A"
"GO:0060349","bone morphogenesis","2/38","15/1871",0.133333333333333,6.56491228070175,3.11491597224033,0.0357143753054511,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
"GO:0097485","neuron projection guidance","2/38","15/1871",0.133333333333333,6.56491228070175,3.11491597224033,0.0357143753054511,0.682580091447175,0.67166273871995,"SOS1/BMPR2",2,"SOS1;BMPR2"
"GO:0031503","protein-containing complex localization","2/38","16/1871",0.125,6.15460526315789,2.98067631293303,0.0403009466202795,0.682580091447175,0.67166273871995,"GIT1/RAB11A",2,"GIT1;RAB11A"
"GO:0044089","positive regulation of cellular component biogenesis","4/38","65/1871",0.0615384615384615,3.02995951417004,2.3978198481877,0.0403658099623747,0.682580091447175,0.67166273871995,"FCHSD2/ZMYND8/GIT1/RAB11A",4,"FCHSD2;ZMYND8;GIT1;RAB11A"
"GO:0120035","regulation of plasma membrane bounded cell projection organization","4/38","66/1871",0.0606060606060606,2.98405103668262,2.36220493928971,0.0423542722661276,0.682580091447175,0.67166273871995,"BMPR2/KREMEN1/ZMYND8/RAB11A",4,"BMPR2;KREMEN1;ZMYND8;RAB11A"
"GO:0009144","purine nucleoside triphosphate metabolic process","3/38","39/1871",0.0769230769230769,3.78744939271255,2.53225786840024,0.0427220255659326,0.682580091447175,0.67166273871995,"GTPBP1/IMPDH2/GIT1",3,"GTPBP1;IMPDH2;GIT1"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","3/38","39/1871",0.0769230769230769,3.78744939271255,2.53225786840024,0.0427220255659326,0.682580091447175,0.67166273871995,"GTPBP1/IMPDH2/GIT1",3,"GTPBP1;IMPDH2;GIT1"
"GO:1902903","regulation of supramolecular fiber organization","3/38","39/1871",0.0769230769230769,3.78744939271255,2.53225786840024,0.0427220255659326,0.682580091447175,0.67166273871995,"FCHSD2/ARF1/GIT1",3,"FCHSD2;ARF1;GIT1"
"GO:0048167","regulation of synaptic plasticity","2/38","17/1871",0.117647058823529,5.79256965944272,2.85738919993695,0.0450983436210617,0.682580091447175,0.67166273871995,"ARF1/RAB11A",2,"ARF1;RAB11A"
"GO:0050000","chromosome localization","2/38","17/1871",0.117647058823529,5.79256965944272,2.85738919993695,0.0450983436210617,0.682580091447175,0.67166273871995,"KIF22/RAB11A",2,"KIF22;RAB11A"
"GO:1903034","regulation of response to wounding","2/38","17/1871",0.117647058823529,5.79256965944272,2.85738919993695,0.0450983436210617,0.682580091447175,0.67166273871995,"KREMEN1/GIT1",2,"KREMEN1;GIT1"
"GO:0001654","eye development","3/38","40/1871",0.075,3.69276315789474,2.47808015228679,0.0455511512947562,0.682580091447175,0.67166273871995,"SOS1/BMPR2/RARG",3,"SOS1;BMPR2;RARG"
"GO:0048880","sensory system development","3/38","40/1871",0.075,3.69276315789474,2.47808015228679,0.0455511512947562,0.682580091447175,0.67166273871995,"SOS1/BMPR2/RARG",3,"SOS1;BMPR2;RARG"
"GO:0150063","visual system development","3/38","40/1871",0.075,3.69276315789474,2.47808015228679,0.0455511512947562,0.682580091447175,0.67166273871995,"SOS1/BMPR2/RARG",3,"SOS1;BMPR2;RARG"
"GO:0006935","chemotaxis","3/38","41/1871",0.0731707317073171,3.60269576379974,2.42561102426786,0.0484722526825322,0.682580091447175,0.67166273871995,"BMPR2/C5/S100A4",3,"BMPR2;C5;S100A4"
"GO:0042330","taxis","3/38","41/1871",0.0731707317073171,3.60269576379974,2.42561102426786,0.0484722526825322,0.682580091447175,0.67166273871995,"BMPR2/C5/S100A4",3,"BMPR2;C5;S100A4"
"GO:0008380","RNA splicing","5/38","100/1871",0.05,2.46184210526316,2.1628308478121,0.0486385728112399,0.682580091447175,0.67166273871995,"ACIN1/DDX46/PRX/METTL16/GEMIN8",5,"ACIN1;DDX46;PRX;METTL16;GEMIN8"
"GO:0031344","regulation of cell projection organization","4/38","69/1871",0.0579710144927536,2.85430968726163,2.25923177884864,0.048652447709626,0.682580091447175,0.67166273871995,"BMPR2/KREMEN1/ZMYND8/RAB11A",4,"BMPR2;KREMEN1;ZMYND8;RAB11A"
"GO:0033043","regulation of organelle organization","7/38","169/1871",0.0414201183431953,2.03939582684522,2.03927555029644,0.0495243369989118,0.682580091447175,0.67166273871995,"TOM1L2/FCHSD2/ARF1/TMEM39A/ZMYND8/GIT1/RAB11A",7,"TOM1L2;FCHSD2;ARF1;TMEM39A;ZMYND8;GIT1;RAB11A"
"GO:0003205","cardiac chamber development","2/38","18/1871",0.111111111111111,5.47076023391813,2.74353996766119,0.050096602510833,0.682580091447175,0.67166273871995,"SOS1/BMPR2",2,"SOS1;BMPR2"
"GO:0007626","locomotory behavior","2/38","18/1871",0.111111111111111,5.47076023391813,2.74353996766119,0.050096602510833,0.682580091447175,0.67166273871995,"ASL/GIT1",2,"ASL;GIT1"
