normalized_gene_position_percent,Scramble,p53sh
0.0,0.02118735431818213,0.024247511967955337
1.0101010101010102,0.00809116058093983,0.007800677851826416
2.0202020202020203,0.001279260370069506,-0.0012136122599158317
3.0303030303030303,-0.00349331004307578,-0.003288196587082481
4.040404040404041,-0.004673332167886272,-0.005018532226252772
5.050505050505051,-0.006223462009976714,-0.007975904631711713
6.0606060606060606,-0.007402915180033506,-0.009996940052199308
7.070707070707071,-0.008118866826961729,-0.010608775679566095
8.080808080808081,-0.008455264852724303,-0.01156886093313552
9.090909090909092,-0.008371741269546441,-0.011645985946876979
10.101010101010102,-0.009153063338010602,-0.011457211030693316
11.111111111111112,-0.010690593189912388,-0.011223967183859198
12.121212121212121,-0.010795055852029677,-0.011566592905000332
13.131313131313131,-0.010926409037776431,-0.01274891143637807
14.141414141414142,-0.010870087230153628,-0.013506192256161847
15.151515151515152,-0.011530672540530612,-0.01184943952522418
16.161616161616163,-0.009727157552043566,-0.01171337255141715
17.171717171717173,-0.010181737973822167,-0.012374476399109937
18.181818181818183,-0.010983536789834804,-0.013319394614806981
19.191919191919194,-0.010645006556498408,-0.012365469871606393
20.202020202020204,-0.012022416956603815,-0.013709552746301975
21.212121212121215,-0.011596412171883322,-0.013937065302485516
22.222222222222225,-0.011660407623122062,-0.013339425960717822
23.232323232323235,-0.011882429517042489,-0.013093653712564986
24.242424242424242,-0.011218033789079348,-0.013503142803906468
25.252525252525253,-0.011263028751715162,-0.014202795311745087
26.262626262626263,-0.011946662110853953,-0.013830263222340017
27.272727272727273,-0.01154061050275309,-0.012630519621102307
28.282828282828284,-0.011240041257330939,-0.014328730089677708
29.292929292929294,-0.009975365152011615,-0.013186477770484456
30.303030303030305,-0.010930202037026758,-0.014017192758355997
31.313131313131315,-0.011252805140556833,-0.013447317073692983
32.323232323232325,-0.011970274514850379,-0.012989966770016773
33.333333333333336,-0.011781254021551571,-0.013662056807767123
34.343434343434346,-0.011674677231825383,-0.01365789744488888
35.35353535353536,-0.010998241086357627,-0.012669168285816067
36.36363636363637,-0.011157110861948857,-0.013864628435812494
37.37373737373738,-0.011090409890761072,-0.013391429458164262
38.38383838383839,-0.010299709356235781,-0.012440436465526667
39.3939393939394,-0.01154224550572788,-0.01277066296611719
40.40404040404041,-0.010995328630727429,-0.011057501840805294
41.41414141414142,-0.011347201967010587,-0.01218236437763661
42.42424242424243,-0.01100596116359395,-0.01319058901296081
43.43434343434344,-0.01128658674954756,-0.013191190521888881
44.44444444444445,-0.010995743646280283,-0.012330464174387587
45.45454545454546,-0.011858360746899454,-0.012378435954134327
46.46464646464647,-0.010505677779666371,-0.01281600156760314
47.47474747474748,-0.010327497427671155,-0.013310025843666312
48.484848484848484,-0.011346517295218286,-0.012721408935316099
49.494949494949495,-0.010546261019039164,-0.013504410140172741
50.505050505050505,-0.01010958147218355,-0.012913693598740474
51.515151515151516,-0.010954484524354536,-0.013218473530003445
52.525252525252526,-0.011232339477431439,-0.012566122059087146
53.535353535353536,-0.01064795926561055,-0.013195967085929837
54.54545454545455,-0.009761089782463496,-0.013347041255791057
55.55555555555556,-0.00993267697624033,-0.013512344725252074
56.56565656565657,-0.010312896771786075,-0.01329008906361445
57.57575757575758,-0.010760242422697753,-0.012620579672449514
58.58585858585859,-0.010749384468533636,-0.011251976463497446
59.5959595959596,-0.011054581327811015,-0.012010436572601356
60.60606060606061,-0.011173728059426138,-0.012691318904638135
61.61616161616162,-0.010896135538614302,-0.012250067266941875
62.62626262626263,-0.011225353013250259,-0.013585479981837513
63.63636363636364,-0.011667698587178551,-0.011898913054254298
64.64646464646465,-0.010488817848425952,-0.010770271324339685
65.65656565656566,-0.011697775689981087,-0.011297341106910986
66.66666666666667,-0.011108746073789373,-0.011993210722417285
67.67676767676768,-0.011115545341455348,-0.01248652580020936
68.68686868686869,-0.010669759701069865,-0.011053075084093998
69.6969696969697,-0.010079959735335124,-0.010587819226369371
70.70707070707071,-0.010255621668860156,-0.011313161413810831
71.71717171717172,-0.010145085342684377,-0.011039365292329887
72.72727272727273,-0.010731914467341503,-0.01194622691692473
73.73737373737374,-0.011828384882281833,-0.011537096487258739
74.74747474747475,-0.011841314939904674,-0.011762444381718763
75.75757575757576,-0.011348630645918428,-0.012027184409335185
76.76767676767678,-0.012185885849872194,-0.010893457467886043
77.77777777777779,-0.011435291144209063,-0.010744416245582892
78.7878787878788,-0.011079342464493496,-0.012540673911018062
79.7979797979798,-0.010225420734031576,-0.01132605082657682
80.80808080808082,-0.010201428635888245,-0.012782668830515303
81.81818181818183,-0.0101274761559156,-0.012162720621065815
82.82828282828284,-0.010768898735245483,-0.011154611743320358
83.83838383838385,-0.009149615789361416,-0.011221581516186406
84.84848484848486,-0.009540619599666126,-0.012319244082856852
85.85858585858587,-0.00918864851848972,-0.011555838213199419
86.86868686868688,-0.009760395164153687,-0.011631932018173067
87.87878787878789,-0.010382998388175774,-0.011062099851799914
88.8888888888889,-0.010831909284828353,-0.011430821629377143
89.89898989898991,-0.009991146576214664,-0.011767814079618041
90.90909090909092,-0.010363967490925368,-0.012291919235168888
91.91919191919193,-0.010393842984259877,-0.011575650314204471
92.92929292929294,-0.010886458102048146,-0.012266840014722691
93.93939393939395,-0.010744934385047897,-0.01260318401163284
94.94949494949496,-0.01017465214383267,-0.011465073902909316
95.95959595959597,-0.010633606455516078,-0.0127066685981115
96.96969696969697,-0.010105298548616228,-0.012085610489350475
97.97979797979798,-0.01118452950388702,-0.012034893206589249
98.98989898989899,-0.011698873854017156,-0.012507257861620696
100.0,-0.01295200748904796,-0.013463758870047906
