distance_bp,Scramble,p53sh
-2000.0,-0.01375895043150077,-0.015189837438207562
-1959.5959595959596,-0.013343839073975667,-0.014752774390795385
-1919.1919191919192,-0.01330586991143025,-0.015000840824449
-1878.7878787878788,-0.01377106318758064,-0.014985316471605947
-1838.3838383838383,-0.01411321869207267,-0.01538268480410338
-1797.979797979798,-0.01428730275049887,-0.015928952826748645
-1757.5757575757575,-0.014215705388061856,-0.015801574363418582
-1717.1717171717173,-0.014084811068860151,-0.015584128368152298
-1676.7676767676767,-0.013831915246866552,-0.015145608042840044
-1636.3636363636365,-0.01383404598570151,-0.01384876281210222
-1595.9595959595958,-0.013367468362446254,-0.01339758366602533
-1555.5555555555557,-0.012384223332717017,-0.014422358733598458
-1515.1515151515152,-0.01181647347315625,-0.014357924003201747
-1474.7474747474748,-0.011640852965557605,-0.015547628341336989
-1434.3434343434344,-0.011047999585399836,-0.0154739418431948
-1393.939393939394,-0.011135791025720754,-0.014698136747225107
-1353.5353535353536,-0.011084376659144945,-0.014235220643910008
-1313.1313131313132,-0.010647022737036216,-0.014392667374169681
-1272.7272727272727,-0.01046239439204357,-0.014808623087313006
-1232.3232323232323,-0.010238502266621208,-0.013682116686571998
-1191.919191919192,-0.009733513204774119,-0.012944822414560507
-1151.5151515151515,-0.009428978771645296,-0.01292928892701168
-1111.1111111111113,-0.009002062503933945,-0.012759470449908371
-1070.7070707070707,-0.008358412880279945,-0.012984571135492335
-1030.3030303030305,-0.007130773927610725,-0.012320451147704154
-989.89898989899,-0.00653128775077706,-0.010452915813541639
-949.4949494949497,-0.006549611958128045,-0.009571191731503913
-909.0909090909092,-0.007151385119884492,-0.009094413594729843
-868.6868686868688,-0.007760756535341349,-0.008934154495829148
-828.2828282828284,-0.007397825550309032,-0.008438879163698267
-787.878787878788,-0.006471526531342249,-0.007110836711917632
-747.4747474747476,-0.004963953586588127,-0.005766287278771648
-707.0707070707072,-0.003497295079163481,-0.004684217860767965
-666.6666666666667,-0.00343415640219375,-0.003940006032300886
-626.2626262626263,-0.0022642480725198486,-0.0039008841712470273
-585.8585858585859,-0.001615014805345847,-0.0032735778388912253
-545.4545454545455,-0.001555829350269443,-0.0025195429620362077
-505.0505050505051,-0.0004923473078114364,-0.0022108587729546755
-464.64646464646466,0.0012700827989221106,-0.0014885645854169538
-424.24242424242425,0.0031554756562404045,0.00016943441865882147
-383.83838383838383,0.005382876766528852,0.001384800623517949
-343.43434343434365,0.00775408621176123,0.004051128237862719
-303.03030303030323,0.009634679338749438,0.007411406493876098
-262.6262626262628,0.01219298395720655,0.011440030013322534
-222.2222222222224,0.015074775328049383,0.01608198137363477
-181.81818181818198,0.019049571186363874,0.021157528546392555
-141.41414141414157,0.023380259312334707,0.02640664827415817
-101.01010101010115,0.02845724539451718,0.0326925693899934
-60.60606060606074,0.031888875522689875,0.03829314035187965
-20.20202020202032,0.034029635490130224,0.041238834966555706
20.202020202020094,0.03450920716600317,0.04192106641083296
60.60606060606051,0.032023103683357736,0.03951659232290709
101.0101010101007,0.027862845781383937,0.03532233092474756
141.41414141414134,0.023249661203727054,0.02978047092807419
181.81818181818153,0.01914980587874436,0.02461217077409767
222.22222222222217,0.01556962710645108,0.02079310939154633
262.62626262626236,0.01314022576178867,0.01651408973621942
303.030303030303,0.010082241351900844,0.012225030503736014
343.4343434343432,0.008148304147267946,0.008232568346973286
383.83838383838383,0.006106038501587206,0.004748344816675824
424.242424242424,0.003987246861990875,0.002578431192574206
464.64646464646466,0.0030254947816407696,0.000678023543655873
505.05050505050485,0.0011942062729996628,-0.00010246174383966514
545.4545454545455,-0.00015703085116509222,-0.0002962777697644205
585.8585858585857,-0.001467514536002946,-0.0011986808198993092
626.2626262626259,-0.002283043048196488,-0.0030701428246300297
666.6666666666665,-0.0026972144097956053,-0.004528578340781974
707.0707070707067,-0.0030993947463909626,-0.00627391920004681
747.4747474747473,-0.003763952600098964,-0.0072637586861884
787.8787878787875,-0.004089412492092607,-0.008091456367358888
828.2828282828282,-0.004258635620881332,-0.008338120635200615
868.6868686868684,-0.005262505003756145,-0.008572594098242398
909.090909090909,-0.006072509421963567,-0.008343392043613692
949.4949494949492,-0.0068533202283714975,-0.00886557897287056
989.8989898989898,-0.007836552035054995,-0.008960092856898277
1030.30303030303,-0.00832925271941778,-0.009241630243540301
1070.7070707070707,-0.009295298957695734,-0.009423519563553813
1111.1111111111109,-0.009659403022826378,-0.009499184246510441
1151.5151515151515,-0.009750238275194965,-0.009981172899098003
1191.9191919191917,-0.010629385066183515,-0.010470020103496501
1232.3232323232323,-0.011501252398758556,-0.011337570145010831
1272.7272727272725,-0.011568903451699095,-0.011963833441949684
1313.1313131313127,-0.0121619750808266,-0.012324068347198786
1353.5353535353534,-0.012607370006159586,-0.011446553458829313
1393.9393939393935,-0.012048397202456679,-0.012555624216915995
1434.3434343434342,-0.011555686896742103,-0.013164201962188267
1474.7474747474744,-0.011259624585434537,-0.013609323265437996
1515.151515151515,-0.010637808462117815,-0.013482280197523648
1555.5555555555552,-0.010386554749883132,-0.01369017346754668
1595.9595959595958,-0.010676550275756846,-0.013627778554887593
1636.363636363636,-0.010870572636312758,-0.013594337639940205
1676.7676767676767,-0.011434380808286732,-0.014002599387544348
1717.1717171717169,-0.011557614607128827,-0.015107496151280922
1757.5757575757575,-0.01157052730805002,-0.015520599057059183
1797.9797979797977,-0.012194065592350157,-0.015252903421046241
1838.3838383838383,-0.012164946620446272,-0.016062533394293834
1878.7878787878785,-0.012598657886262238,-0.016558665988966784
1919.1919191919187,-0.012566576653654748,-0.016475481025081794
1959.5959595959594,-0.01235318373954045,-0.015898759679357753
2000.0,-0.012040672879400029,-0.014755927864984813
