geneId	ENSEMBL	SYMBOL	GENENAME
7150	ENSG00000198900	TOP1	DNA topoisomerase I
7151		TOP1P1	DNA topoisomerase I pseudogene 1
105372664		LOC105372664	uncharacterized LOC105372664
51750	ENSG00000258366	RTEL1	regulator of telomere elongation helicase 1
