distance_bp,Scramble,p53 KD
-2000.0,0.007763139639943427,-0.005964235851181209
-1959.5959595959596,0.007943770600990004,-0.005443446688241529
-1919.1919191919192,0.007772756024478568,-0.005458443488041808
-1878.7878787878788,0.007510389516249283,-0.006134719432956986
-1838.3838383838383,0.007573601831897221,-0.006187910821452126
-1797.979797979798,0.008096785158562303,-0.006212137602574776
-1757.5757575757575,0.009311702117012327,-0.005587576766067918
-1717.1717171717173,0.010264382288548249,-0.00508623404161626
-1676.7676767676767,0.01062992352164422,-0.004674462600996784
-1636.3636363636365,0.01098807051690834,-0.004252140197226388
-1595.9595959595958,0.01080195603524818,-0.00386027185809129
-1555.5555555555557,0.011428093037204212,-0.0035591013997355184
-1515.1515151515152,0.012083624641081835,-0.003785209160335913
-1474.7474747474748,0.013243820921234276,-0.004343384252205071
-1434.3434343434344,0.014538455405232537,-0.004043661090476524
-1393.939393939394,0.01573756772236404,-0.004540705245676405
-1353.5353535353536,0.016381932270237248,-0.004534254550452962
-1313.1313131313132,0.017789065923233555,-0.0034854308053186792
-1272.7272727272727,0.019449059056378882,-0.0032555155780172066
-1232.3232323232323,0.021491898144842172,-0.0018705472670978616
-1191.919191919192,0.02380968380230821,-0.0009571238412798273
-1151.5151515151515,0.026035898138234315,0.00034506787754444315
-1111.1111111111113,0.02729444534996058,0.0013115433726500485
-1070.7070707070707,0.028617932823476248,0.002227747774253937
-1030.3030303030305,0.030374178608975982,0.0032784291141931894
-989.89898989899,0.03195030151321051,0.004520199803343221
-949.4949494949497,0.034649518403522615,0.005777319567816744
-909.0909090909092,0.037065748567543765,0.007280972102451638
-868.6868686868688,0.040335855689789056,0.008134641337239588
-828.2828282828284,0.04448560689931557,0.009840499149581884
-787.878787878788,0.04732185638109203,0.01065706934199558
-747.4747474747476,0.05073166531472378,0.012290802571369082
-707.0707070707072,0.053431940205345495,0.014047370304775961
-666.6666666666667,0.055533662984436134,0.01572488018105338
-626.2626262626263,0.0599499846061183,0.017325040156970166
-585.8585858585859,0.06373167377449714,0.019290558866390185
-545.4545454545455,0.06813173681542822,0.021477609999531317
-505.0505050505051,0.07334101794252794,0.023808285421998174
-464.64646464646466,0.07842229953408246,0.026804975715496875
-424.24242424242425,0.08363825924218438,0.02950418702699073
-383.83838383838383,0.08800149824691324,0.03130168714861171
-343.43434343434365,0.09145056196552187,0.033324844951837344
-303.03030303030323,0.09490498885182184,0.03706341162536305
-262.6262626262628,0.10056149796709571,0.04120936369920859
-222.2222222222224,0.10743580973472205,0.04545640830581862
-181.81818181818198,0.11190973187139175,0.04808557798418112
-141.41414141414157,0.11433170171108416,0.04821119206706761
-101.01010101010115,0.11401873051872674,0.047291163485320455
-60.60606060606074,0.1122272345259085,0.04693504005477034
-20.20202020202032,0.1115188794246805,0.0462418448141882
20.202020202020094,0.11122596409015924,0.04668797606222269
60.60606060606051,0.11271195620221663,0.04814767695281708
101.0101010101007,0.11388304812479828,0.04907160365935686
141.41414141414134,0.11295714418331829,0.049359739976275484
181.81818181818153,0.11054388332166122,0.047209861214618856
222.22222222222217,0.10709454362793927,0.04345320277882839
262.62626262626236,0.10219212464924572,0.03851927941505568
303.030303030303,0.09619475888340911,0.03516066418303129
343.4343434343432,0.09037531197929477,0.03289123889271288
383.83838383838383,0.08633583755764693,0.030672323951012614
424.242424242424,0.08112890699909855,0.02808271740552053
464.64646464646466,0.07536521019391686,0.025830809454542816
505.05050505050485,0.07168648845649664,0.023530785305606504
545.4545454545455,0.06688089326231098,0.0222654544691655
585.8585858585857,0.06227816323794624,0.020514995171037873
626.2626262626259,0.05879895379746417,0.0184345236030097
666.6666666666665,0.05495475182519931,0.017021733543241203
707.0707070707067,0.05085000385745869,0.01548658013063653
747.4747474747473,0.04735683472972997,0.013911506021022757
787.8787878787875,0.04395384715054096,0.01199637150516632
828.2828282828282,0.03974301228114203,0.010648692588144743
868.6868686868684,0.03725013872789952,0.008793982482077788
909.090909090909,0.03497606461352268,0.005853327291990136
949.4949494949492,0.033234463984385045,0.004098348146377811
989.8989898989898,0.031480293144600914,0.003385007629008577
1030.30303030303,0.030032840171192635,0.002593129075615429
1070.7070707070707,0.029274696690031077,0.002571392401233035
1111.1111111111109,0.027512537801674897,0.0020647116170506353
1151.5151515151515,0.026418118693495984,0.0016746820600624065
1191.9191919191917,0.02465027341427648,0.0015663546165667886
1232.3232323232323,0.022141811225652935,0.0010153153889682306
1272.7272727272725,0.020707371215869314,0.0015455735182116671
1313.1313131313127,0.01832601183672523,0.00037730836471623055
1353.5353535353534,0.015122499343913832,-0.000713338252038298
1393.9393939393935,0.014091578555594921,-0.0010729987684559958
1434.3434343434342,0.01301683617918314,-0.002083501241139097
1474.7474747474744,0.013556993382996157,-0.002714688164666566
1515.151515151515,0.013021571134895197,-0.0028724857173721653
1555.5555555555552,0.013316300236884212,-0.0036770724744215715
1595.9595959595958,0.011651263530748123,-0.005105533622028678
1636.363636363636,0.009953382692918374,-0.005363417667691978
1676.7676767676767,0.008733423064790552,-0.004984644038142289
1717.1717171717169,0.007890988249441303,-0.004723164928362659
1757.5757575757575,0.0074976873884254995,-0.004206521757555171
1797.9797979797977,0.006135050293195943,-0.004367680067352035
1838.3838383838383,0.006056380424702519,-0.004800890859257769
1878.7878787878785,0.005434597051840405,-0.004528189503631939
1919.1919191919187,0.0049022839121808685,-0.005996834602629834
1959.5959595959594,0.0058216707734129024,-0.0073468367900379125
2000.0,0.00664637196178631,-0.007501009132923041
