annotated_gene_id,gene_name,in_YEATS2KD,in_p53KD,shared
ENSG00000172269,DPAGT1,False,True,False
ENSG00000172819,RARG,False,True,False
ENSG00000173153,ESRRA,False,True,False
ENSG00000174326,SLC16A11,False,True,False
ENSG00000175193,PARL,True,False,False
ENSG00000175662,TOM1L2,False,True,False
ENSG00000176142,TMEM39A,False,True,False
ENSG00000176531,PHLDB3,False,True,False
ENSG00000177098,SCN4B,True,False,False
ENSG00000177673,TEX44,False,True,False
ENSG00000178035,IMPDH2,False,True,False
ENSG00000178802,MPI,False,True,False
ENSG00000179094,PER1,False,True,False
ENSG00000179115,FARSA,False,True,False
ENSG00000179409,GEMIN4,False,True,False
ENSG00000182173,TSEN54,False,True,False
ENSG00000182586,LINC00334,True,False,False
ENSG00000183762,KREMEN1,False,True,False
ENSG00000185896,LAMP1,False,True,False
ENSG00000186047,DLEU1-AS1,True,False,False
ENSG00000186603,HPDL,False,True,False
ENSG00000186891,TNFRSF18,False,True,False
ENSG00000186895,FGF3,False,True,False
ENSG00000188186,LAMTOR4,False,True,False
ENSG00000188825,LINC00910,True,True,True
ENSG00000196141,SPATS2L,False,True,False
ENSG00000196154,S100A4,False,True,False
ENSG00000196428,TSC22D2,False,True,False
ENSG00000196739,COL27A1,True,False,False
ENSG00000196756,SNHG17,True,False,False
ENSG00000197102,DYNC1H1,False,True,False
ENSG00000197798,FAM118B,True,False,False
ENSG00000197958,RPL12,True,False,False
ENSG00000198496,NBR2,True,False,False
ENSG00000198547,C20orf203,True,False,False
ENSG00000198646,NCOA6,True,False,False
ENSG00000198792,TMEM184B,False,True,False
ENSG00000198876,DCAF12,True,False,False
ENSG00000198900,TOP1,False,True,False
ENSG00000203650,LINC01285,True,False,False
ENSG00000204165,CXorf65,True,False,False
ENSG00000204217,BMPR2,False,True,False
ENSG00000206630,SNORD60,False,True,False
ENSG00000211584,SLC48A1,False,True,False
ENSG00000214198,TTC41P,True,False,False
ENSG00000221968,FADS3,False,True,False
ENSG00000223343,LOC124909376,False,True,False
ENSG00000224164,LINC02828,False,True,False
ENSG00000224165,DNAJC27-AS1,True,False,False
ENSG00000225614,ZNF469,False,True,False
ENSG00000227356,GOLGA7B-DT,False,True,False
ENSG00000228474,OST4,False,True,False
ENSG00000230269,LINC02525,False,True,False
ENSG00000231083,LOC105373411,False,True,False
ENSG00000231721,LINC-PINT,False,True,False
ENSG00000233223,MPDU1-AS1,False,True,False
ENSG00000233746,LINC00656,False,True,False
ENSG00000235703,EOLA2-DT,False,True,False
ENSG00000239704,CDRT4,False,True,False
ENSG00000240498,CDKN2B-AS1,False,True,False
ENSG00000240687,LOC105373418,True,False,False
ENSG00000241839,PLEKHO2,False,True,False
ENSG00000241852,C8orf58,False,True,False
ENSG00000242802,AP5Z1,False,True,False
ENSG00000245750,LINC00593,False,True,False
ENSG00000246922,UBAP1L,True,False,False
ENSG00000248323,LUCAT1,False,True,False
ENSG00000249647,LINC02900,False,True,False
ENSG00000253470,LOC105375747,True,False,False
ENSG00000256508,MRGPRF-AS1,False,True,False
ENSG00000258279,LINC00592,False,True,False
ENSG00000258366,RTEL1,False,True,False
ENSG00000259783,LINC02259,False,True,False
ENSG00000264480,MIR4714,False,True,False
ENSG00000264585,MIR4449,False,True,False
ENSG00000264979,MIR4436B1,False,True,False
ENSG00000265965,MIR4266,True,False,False
ENSG00000266383,MIR5002,True,False,False
ENSG00000266494,MIR4641,True,False,False
ENSG00000267201,LINC01775,False,True,False
ENSG00000272325,NUDT3,False,True,False
ENSG00000274210,RNVU1-27,False,True,False
ENSG00000275765,LOC100652758,False,True,False
ENSG00000276368,H2AC14,False,True,False
ENSG00000277027,RMRP,False,True,False
ENSG00000283297,TEX52,True,False,False
ENSG00000284062,MIR4469,True,False,False
ENSG00000284634,LOC374443,False,True,False
ENSG00000284738,LOC101928059,False,True,False
ENSG00000285872,LOC101929691,False,True,False
ENSG00000286264,LOC114841035,False,True,False
ENSG00000287545,LOC124902771,False,True,False
ENSG00000289497,LOC105379130,True,False,False
ENSG00000289521,LOC105379321,False,True,False
ENSG00000293510,AFG3L1P,False,True,False
ENSG00000301105,LOC124904614,False,True,False
