distance_bp,YEATS2KD,p53KD
-2000.0,0.002113127192722504,-0.0137273754911246
-1959.59595959596,0.0019172109701222004,-0.0133872172892315
-1919.1919191919192,0.0013482819255970988,-0.0132311995125203
-1878.7878787878788,0.0007290025745041936,-0.013645108949206099
-1838.3838383838383,0.00027676174624120115,-0.0137615126533493
-1797.979797979798,-9.329204105899824e-05,-0.014308922761136999
-1757.5757575757575,-9.807976048380185e-05,-0.014899278883080201
-1717.171717171717,0.0001780618175009005,-0.0153506163301644
-1676.767676767677,0.0008265632281529989,-0.0153043861226409
-1636.3636363636365,0.0014851372777514027,-0.0152402107141346
-1595.9595959595958,0.002687184239637895,-0.014662227893339298
-1555.5555555555557,0.002716263511394798,-0.0149871944369397
-1515.1515151515152,0.0022970301679658967,-0.0158688338014177
-1474.7474747474748,0.0020976568201841045,-0.017587205173439202
-1434.3434343434344,0.002313073750699196,-0.018582116495709
-1393.939393939394,0.0020686671932534026,-0.020278272968040398
-1353.5353535353536,0.001306134864698598,-0.0209161868206901
-1313.1313131313132,0.0016588369723253976,-0.0212744967285521
-1272.7272727272727,0.0010291207019081997,-0.022704574634396
-1232.3232323232323,0.0012659295085069022,-0.023362445411939898
-1191.919191919192,0.002477820331998698,-0.024766807643588
-1151.5151515151515,0.001759698519031995,-0.0256908302606899
-1111.1111111111113,0.0021031472066209006,-0.0259829019773105
-1070.707070707071,0.0018955464384873,-0.0263901850492223
-1030.3030303030305,0.0016237251688847043,-0.0270957494947828
-989.89898989899,0.0033533279989265974,-0.027430101709867302
-949.4949494949497,0.0035691639685671017,-0.028872198835705902
-909.0909090909092,0.0040223835595707,-0.029784776465092103
-868.6868686868688,0.004194962972798505,-0.0322012143525495
-828.2828282828284,0.003139940142757508,-0.0346451077497337
-787.878787878788,0.003577449067039787,-0.0366647870390965
-747.4747474747476,0.0041057025543260045,-0.0384408627433547
-707.0707070707072,0.0034140443352402017,-0.039384569900569495
-666.6666666666667,0.0026775519844773887,-0.0398087828033828
-626.2626262626263,0.0023673745033272048,-0.0426249444491482
-585.8585858585859,0.001653850327743192,-0.044441114908106996
-545.4545454545455,0.0014213162427644949,-0.046654126815896896
-505.0505050505051,0.0010278539690135036,-0.049532732520529796
