"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","Reactome","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","1/10","57/1064",1,0.424782174430676,0.528508054233516,"FGF3"
"loss_down","Reactome","R-HSA-556833","Metabolism of lipids","1/10","58/1064",1,0.430494367336032,0.529458589712131,"SUMF2"
"loss_down","Reactome","R-HSA-1266738","Developmental Biology","2/10","160/1064",2,0.457695262391766,0.55651583040817,"LIMK1;TP53"
"loss_down","Reactome","R-HSA-3700989","Transcriptional Regulation by TP53","1/10","64/1064",1,0.463708498075289,0.557492239259055,"TP53"
"loss_down","Reactome","R-HSA-382551","Transport of small molecules","1/10","65/1064",1,0.469071413094536,0.557673791123504,"SLC43A1"
"loss_down","Reactome","R-HSA-71291","Metabolism of amino acids and derivatives","1/10","68/1064",1,0.484871817298664,0.570124004955572,"TP53"
"loss_down","Reactome","R-HSA-392499","Metabolism of proteins","3/10","275/1064",3,0.500112432463802,0.581652502974204,"FBXW4;SUMF2;TP53"
"loss_down","Reactome","R-HSA-8953854","Metabolism of RNA","2/10","176/1064",2,0.511910515351,0.588972313360828,"FASTK;TBRG4"
"loss_down","Reactome","R-HSA-194315","Signaling by Rho GTPases","1/10","80/1064",1,0.543929397326711,0.612636268567979,"LIMK1"
"loss_down","Reactome","R-HSA-9716542","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","1/10","80/1064",1,0.543929397326711,0.612636268567979,"LIMK1"
"loss_down","Reactome","R-HSA-422475","Axon guidance","1/10","86/1064",1,0.571108929997666,0.628345838377345,"LIMK1"
"loss_down","Reactome","R-HSA-1280215","Cytokine Signaling in Immune system","1/10","87/1064",1,0.575494319261494,0.628345838377345,"TP53"
"loss_down","Reactome","R-HSA-9675108","Nervous system development","1/10","87/1064",1,0.575494319261494,0.628345838377345,"LIMK1"
"loss_down","Reactome","R-HSA-1280218","Adaptive Immune System","1/10","91/1064",1,0.592635199234438,0.634119663180848,"FBXW4"
"loss_down","Reactome","R-HSA-69278","Cell Cycle, Mitotic","1/10","91/1064",1,0.592635199234438,0.634119663180848,"TP53"
"loss_down","Reactome","R-HSA-1640170","Cell Cycle","1/10","113/1064",1,0.676262853517093,0.716436884419099,"TP53"
"loss_down","Reactome","R-HSA-212436","Generic Transcription Pathway","1/10","135/1064",1,0.744109275872,0.780585220767686,"TP53"
"loss_down","Reactome","R-HSA-2262752","Cellular responses to stress","1/10","149/1064",1,0.78032317649768,0.810626989177202,"TP53"
"loss_down","Reactome","R-HSA-73857","RNA Polymerase II Transcription","1/10","159/1064",1,0.803292269524869,0.819133401609591,"TP53"
"loss_down","Reactome","R-HSA-8953897","Cellular responses to stimuli","1/10","160/1064",1,0.805465835607467,0.819133401609591,"TP53"
"loss_down","Reactome","R-HSA-1643685","Disease","2/10","294/1064",2,0.811477949258099,0.819133401609591,"FGF3;TP53"
"loss_down","Reactome","R-HSA-74160","Gene expression (Transcription)","1/10","184/1064",1,0.851562209709886,0.851562209709886,"TP53"
