"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:0045597","positive regulation of cell differentiation","1/3","88/1522",1,0.163721550686816,0.255504844253667,"CORO1C"
"loss_up","GO_BP","GO:0060284","regulation of cell development","1/3","88/1522",1,0.163721550686816,0.255504844253667,"CORO1C"
"loss_up","GO_BP","GO:0061024","membrane organization","1/3","88/1522",1,0.163721550686816,0.255504844253667,"CORO1C"
"loss_up","GO_BP","GO:0007417","central nervous system development","1/3","91/1522",1,0.168962836561737,0.261701837080585,"CORO1C"
"loss_up","GO_BP","GO:0040011","locomotion","1/3","93/1522",1,0.172444832446721,0.265101757343467,"CORO1C"
"loss_up","GO_BP","GO:0051252","regulation of RNA metabolic process","2/3","408/1522",2,0.176875100689387,0.269898301792695,"TSC22D2;ELF1"
"loss_up","GO_BP","GO:0007155","cell adhesion","1/3","100/1522",1,0.184555206294394,0.27954685659298,"CORO1C"
"loss_up","GO_BP","GO:0030097","hemopoiesis","1/3","109/1522",1,0.19995131101163,0.300656715827707,"CORO1C"
"loss_up","GO_BP","GO:0120036","plasma membrane bounded cell projection organization","1/3","110/1522",1,0.201649928185703,0.30101366091489,"CORO1C"
"loss_up","GO_BP","GO:0030030","cell projection organization","1/3","113/1522",1,0.206731350688535,0.306378836272217,"CORO1C"
"loss_up","GO_BP","GO:0044087","regulation of cellular component biogenesis","1/3","115/1522",1,0.210106958559147,0.309157381879888,"CORO1C"
"loss_up","GO_BP","GO:0009628","response to abiotic stimulus","1/3","118/1522",1,0.215152393771247,0.312355665913298,"TSC22D2"
"loss_up","GO_BP","GO:0019219","regulation of nucleobase-containing compound metabolic process","2/3","456/1522",2,0.215337443983962,0.312355665913298,"TSC22D2;ELF1"
"loss_up","GO_BP","GO:0016477","cell migration","1/3","119/1522",1,0.216829418570881,0.312355665913298,"CORO1C"
"loss_up","GO_BP","GO:0007165","signal transduction","2/3","461/1522",2,0.219488233954869,0.313990112463215,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0051130","positive regulation of cellular component organization","1/3","124/1522",1,0.22517871726802,0.31990907418767,"CORO1C"
"loss_up","GO_BP","GO:0051094","positive regulation of developmental process","1/3","126/1522",1,0.228501750102616,0.320213336878496,"CORO1C"
"loss_up","GO_BP","GO:0051240","positive regulation of multicellular organismal process","1/3","126/1522",1,0.228501750102616,0.320213336878496,"CORO1C"
"loss_up","GO_BP","GO:2000026","regulation of multicellular organismal development","1/3","132/1522",1,0.23841381459075,0.331846255443882,"CORO1C"
"loss_up","GO_BP","GO:0016192","vesicle-mediated transport","1/3","134/1522",1,0.241698870219036,0.331933115100809,"CORO1C"
"loss_up","GO_BP","GO:0048870","cell motility","1/3","134/1522",1,0.241698870219036,0.331933115100809,"CORO1C"
"loss_up","GO_BP","GO:0009968","negative regulation of signal transduction","1/3","137/1522",1,0.246608720052197,0.334250912069457,"ELF1"
"loss_up","GO_BP","GO:0006955","immune response","1/3","139/1522",1,0.249870150761597,0.334250912069457,"ELF1"
"loss_up","GO_BP","GO:0007154","cell communication","2/3","498/1522",2,0.250970758233203,0.334250912069457,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0023052","signaling","2/3","499/1522",2,0.251839456134758,0.334250912069457,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0007010","cytoskeleton organization","1/3","142/1522",1,0.254744627159732,0.334250912069457,"CORO1C"
"loss_up","GO_BP","GO:0010648","negative regulation of cell communication","1/3","142/1522",1,0.254744627159732,0.334250912069457,"ELF1"
"loss_up","GO_BP","GO:0023057","negative regulation of signaling","1/3","142/1522",1,0.254744627159732,0.334250912069457,"ELF1"
"loss_up","GO_BP","GO:0045944","positive regulation of transcription by RNA polymerase II","1/3","145/1522",1,0.259597940882421,0.338463138112524,"ELF1"
"loss_up","GO_BP","GO:0046907","intracellular transport","1/3","155/1522",1,0.275623402866815,0.357096987362037,"CORO1C"
"loss_up","GO_BP","GO:0045595","regulation of cell differentiation","1/3","160/1522",1,0.283548680735421,0.364820584300599,"CORO1C"
"loss_up","GO_BP","GO:0051726","regulation of cell cycle","1/3","161/1522",1,0.28512676734173,0.364820584300599,"TSC22D2"
"loss_up","GO_BP","GO:0048585","negative regulation of response to stimulus","1/3","169/1522",1,0.297668119049266,0.378516250149066,"ELF1"
"loss_up","GO_BP","GO:0045184","establishment of protein localization","1/3","176/1522",1,0.308520740069895,0.389028905613625,"CORO1C"
