"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","GO_BP","GO:0072091","regulation of stem cell proliferation","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:1900542","regulation of purine nucleotide metabolic process","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0006914","autophagy","2/11","65/1522",2,0.0770512206876846,0.356313560879868,"AP5Z1;TP53"
"loss_down","GO_BP","GO:0010638","positive regulation of organelle organization","2/11","65/1522",2,0.0770512206876846,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0061919","process utilizing autophagic mechanism","2/11","65/1522",2,0.0770512206876846,0.356313560879868,"AP5Z1;TP53"
"loss_down","GO_BP","GO:0007165","signal transduction","6/11","461/1522",6,0.0807874180416363,0.356313560879868,"C5;LIMK1;FBXW4;FASTK;FGF3;TP53"
"loss_down","GO_BP","GO:0009894","regulation of catabolic process","3/11","148/1522",3,0.0830717368087133,0.356313560879868,"FASTK;TBRG4;TP53"
"loss_down","GO_BP","GO:0071363","cellular response to growth factor stimulus","2/11","68/1522",2,0.0833929124609492,0.356313560879868,"FGF3;TP53"
"loss_down","GO_BP","GO:0001906","cell killing","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"C5"
"loss_down","GO_BP","GO:0003333","amino acid transmembrane transport","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"SLC43A1"
"loss_down","GO_BP","GO:0010586","miRNA metabolic process","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0016064","immunoglobulin mediated immune response","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"C5"
"loss_down","GO_BP","GO:0034341","response to type II interferon","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0048639","positive regulation of developmental growth","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"LIMK1"
"loss_down","GO_BP","GO:0051017","actin filament bundle assembly","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"LIMK1"
"loss_down","GO_BP","GO:0051262","protein tetramerization","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0061572","actin filament bundle organization","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"LIMK1"
"loss_down","GO_BP","GO:0070918","regulatory ncRNA processing","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0141137","positive regulation of gene expression, epigenetic","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:1904356","regulation of telomere maintenance via telomere lengthening","1/11","12/1522",1,0.0836530379236203,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0006468","protein phosphorylation","2/11","69/1522",2,0.0855441078214674,0.356313560879868,"LIMK1;FASTK"
"loss_down","GO_BP","GO:0050778","positive regulation of immune response","2/11","69/1522",2,0.0855441078214674,0.356313560879868,"C5;LIMK1"
"loss_down","GO_BP","GO:0042127","regulation of cell population proliferation","3/11","150/1522",3,0.0858041311870617,0.356313560879868,"TBRG4;FGF3;TP53"
"loss_down","GO_BP","GO:0051239","regulation of multicellular organismal process","4/11","246/1522",4,0.0864456810423951,0.356313560879868,"C5;LIMK1;FGF3;TP53"
"loss_down","GO_BP","GO:0065008","regulation of biological quality","4/11","246/1522",4,0.0864456810423951,0.356313560879868,"LIMK1;FASTK;TBRG4;TP53"
"loss_down","GO_BP","GO:0070848","response to growth factor","2/11","70/1522",2,0.0877134177779529,0.356313560879868,"FGF3;TP53"
"loss_down","GO_BP","GO:0031175","neuron projection development","2/11","71/1522",2,0.0899005260015385,0.356313560879868,"LIMK1;AP5Z1"
"loss_down","GO_BP","GO:0001836","release of cytochrome c from mitochondria","1/11","13/1522",1,0.0903284131440444,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0006839","mitochondrial transport","1/11","13/1522",1,0.0903284131440444,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0006970","response to osmotic stress","1/11","13/1522",1,0.0903284131440444,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0007040","lysosome organization","1/11","13/1522",1,0.0903284131440444,0.356313560879868,"AP5Z1"
"loss_down","GO_BP","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","1/11","13/1522",1,0.0903284131440444,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0019724","B cell mediated immunity","1/11","13/1522",1,0.0903284131440444,0.356313560879868,"C5"
