,Scramble replicate 1,Scramble replicate 2,p53KD replicate 1,p53KD replicate 2
Scramble replicate 1,1.0,0.7284800525314199,0.4816612431974273,0.4283499482909085
Scramble replicate 2,0.7284800525314199,1.0,0.4689955276700366,0.41815661771574375
p53KD replicate 1,0.4816612431974273,0.4689955276700366,1.0,0.5185293821506823
p53KD replicate 2,0.4283499482909085,0.41815661771574375,0.5185293821506823,1.0
