distance_bp,Scramble replicate 1,Scramble replicate 2,Scramble mean,Scramble sem,p53KD replicate 1,p53KD replicate 2,p53KD mean,p53KD sem
-2000.0,0.07031597581683727,0.046017568856782626,0.058166772336809947,0.012149203480027319,0.018368611506871038,0.008353548633015071,0.013361080069943056,0.0050075314369279825
-1959.5959595959596,0.07089989966431555,0.04036699960884152,0.055633449636578534,0.015266450027737013,0.016736773142502416,0.006769233677575058,0.011753003410038737,0.004983769732463679
-1919.1919191919192,0.07338063520494392,0.0365190158581217,0.05494982553153281,0.01843080967341111,0.012565805256156068,0.008314242765024701,0.010440024010590385,0.002125781245565683
-1878.7878787878788,0.08010885549100794,0.032767155620801645,0.056438005555904794,0.023670849935103145,0.008977857010461216,0.008540087622185681,0.008758972316323449,0.00021888469413776712
-1838.3838383838383,0.08023865931851712,0.0289953977728839,0.05461702854570051,0.02562163077281661,0.009336686184563276,0.002377469973843767,0.005857078079203522,0.0034796081053597547
-1797.979797979798,0.07986501214068129,0.039376582948011433,0.05962079754434636,0.020244214596334922,-0.003186469942336862,0.011321657540531651,0.004067593799097395,0.007254063741434256
-1757.5757575757575,0.08684445021360825,0.02939306038675741,0.05811875530018283,0.028725694913425418,-0.011014015188099748,0.0155322552592926,0.002259120035596426,0.013273135223696173
-1717.1717171717173,0.0799911396334314,0.03489718139160512,0.05744416051251826,0.022546979120913132,-0.010984256945639134,0.01938527674667837,0.004200509900519617,0.015184766846158751
-1676.7676767676767,0.07720559213401952,0.05448753431321596,0.06584656322361773,0.011359028910401782,-0.012357682589097835,0.01739218308706768,0.0025172502489849233,0.014874932838082758
-1636.3636363636365,0.07819619737390901,0.055604040357395114,0.06690011886565206,0.011296078508256946,-0.0039079144757401775,0.011860843422293243,0.003976464473276533,0.00788437894901671
-1595.9595959595958,0.08191615529769998,0.05566531437663969,0.06879073483716984,0.013125420460530144,0.002444115540004404,0.003750958857514579,0.0030975371987594915,0.0006534216587550872
-1555.5555555555557,0.08837583383273646,0.06929813496689478,0.07883698439981562,0.009538849432920838,0.004167428969217114,0.0008483480816634948,0.0025078885254403043,0.001659540443776809
-1515.1515151515152,0.09054936891080742,0.0711687716417336,0.08085907027627051,0.009690298634536907,0.0027431895827508632,0.0043913103094036215,0.0035672499460772424,0.000824060363326379
-1474.7474747474748,0.08468967975534424,0.06532856945502792,0.07500912460518608,0.009680555150158155,0.005150669587837042,0.0016506960764499621,0.003400682832143502,0.0017499867556935397
-1434.3434343434344,0.08658390380155262,0.0638076608501641,0.07519578232585836,0.011388121475694263,0.011232109235057757,0.003870506647591744,0.00755130794132475,0.0036808012937330067
-1393.939393939394,0.08508327484823809,0.06450415352592245,0.07479371418708028,0.01028956066115782,0.01649368844658186,0.00870000972645357,0.012596849086517717,0.0038968393600641448
-1353.5353535353536,0.08703673837013498,0.07412667313768043,0.0805817057539077,0.006455032616227276,0.01463298140358391,0.0070306876630777315,0.01083183453333082,0.0038011468702530892
-1313.1313131313132,0.0965571906586411,0.08982566086786044,0.09319142576325076,0.0033657648953903316,0.020927901756589398,0.010896723593662805,0.015912312675126102,0.005015589081463296
-1272.7272727272727,0.097435712895503,0.10293061017679668,0.10018316153614984,0.0027474486406468403,0.024522462048154826,0.006986812947226491,0.015754637497690658,0.008767824550464168
-1232.3232323232323,0.10204219568595627,0.10575913147984203,0.10390066358289915,0.0018584678969428834,0.013652464349337002,0.014432666865620938,0.01404256560747897,0.00039010125814196815
-1191.919191919192,0.10871510847924844,0.1016973038918444,0.10520620618554642,0.003508902293702015,0.01002257106752257,0.013988619790886461,0.012005595429204517,0.0019830243616819456
-1151.5151515151515,0.10714262388635515,0.10600651218047241,0.10657456803341378,0.0005680558529413682,0.0041450551402175745,0.01005141425811287,0.007098234699165222,0.002953179558947647
-1111.1111111111113,0.11110509956771109,0.09684781981016773,0.1039764596889394,0.007128639878771678,0.0007430181096147236,0.018454916303536645,0.009598967206575685,0.00885594909696096
-1070.7070707070707,0.11518906224215505,0.08788317466332089,0.10153611845273797,0.01365294378941708,0.01333738658320812,0.013686164255874845,0.013511775419541482,0.00017438883633336206
-1030.3030303030305,0.12360438477999108,0.09667937845823224,0.11014188161911166,0.01346250316087942,0.015631972450868316,0.01428996799804735,0.014960970224457833,0.0006710022264104828
-989.89898989899,0.13740002384890207,0.12055422086246491,0.12897712235568348,0.008422901493218579,0.029168231284988688,0.026334062953385355,0.02775114711918702,0.0014170841658016663
-949.4949494949497,0.16097840921439152,0.13402756418666936,0.14750298670053044,0.01347542251386108,0.038596614001656974,0.027290298584349715,0.03294345629300335,0.0056531577086536295
-909.0909090909092,0.17007620315595492,0.13719748220522887,0.1536368426805919,0.016439360475363027,0.05181913278437041,0.024619103162189102,0.03821911797327976,0.013600014811090655
-868.6868686868688,0.17678559479948092,0.1423900661796852,0.15958783048958305,0.01719776430989786,0.0674657007408539,0.031222679477525942,0.04934419010918992,0.018121510631663975
-828.2828282828284,0.17922299074424827,0.13379678126841713,0.1565098860063327,0.02271310473791557,0.07077311850100246,0.02756022636274185,0.04916667243187216,0.021606446069130304
-787.878787878788,0.17060952342222058,0.1390381719049488,0.1548238476635847,0.01578567575863589,0.0754197847069424,0.027897661096482937,0.05165872290171267,0.023761061805229727
-747.4747474747476,0.16615142253585086,0.1576327072615026,0.16189206489867675,0.004259357637174124,0.0849001039390541,0.0327818918896013,0.0588409979143277,0.0260591060247264
