distance_bp,"p53, 0 hr"
-2000.0,0.03769266249710975
-1959.5959595959596,0.038305965321687424
-1919.1919191919192,0.03886029356657696
-1878.7878787878788,0.03992596624111634
-1838.3838383838383,0.0414669041965878
-1797.979797979798,0.04207290416531256
-1757.5757575757575,0.042993631135472755
-1717.1717171717173,0.04497617160954279
-1676.7676767676767,0.045782516521721876
-1636.3636363636365,0.04668392076045913
-1595.9595959595958,0.048426620189334926
-1555.5555555555557,0.050115795613860155
-1515.1515151515152,0.050870768585849484
-1474.7474747474748,0.05321913014582815
-1434.3434343434344,0.057029147779527715
-1393.939393939394,0.05904069732284361
-1353.5353535353536,0.06077322350088062
-1313.1313131313132,0.06182938092893645
-1272.7272727272727,0.06350627123709197
-1232.3232323232323,0.06718595714059068
-1191.919191919192,0.070766616501128
-1151.5151515151515,0.07293820255032718
-1111.1111111111113,0.07409837442961409
-1070.7070707070707,0.07540670726131644
-1030.3030303030305,0.07852016613251873
-989.89898989899,0.08081179714900293
-949.4949494949497,0.08378632259876923
-909.0909090909092,0.08630403852414326
-868.6868686868688,0.08803530792102618
-828.2828282828284,0.08972428466621954
-787.878787878788,0.09145907514673993
-747.4747474747476,0.09403013540622984
-707.0707070707072,0.09712276072130649
-666.6666666666667,0.09910073522113563
-626.2626262626263,0.10083468356455515
-585.8585858585859,0.10428460766271686
-545.4545454545455,0.10807824460920906
-505.0505050505051,0.1107721059871119
-464.64646464646466,0.11231637416592818
-424.24242424242425,0.11494828591081775
-383.83838383838383,0.12182810036989562
-343.43434343434365,0.1319770809144031
-303.03030303030323,0.14015487770085264
-262.6262626262628,0.1431864924057248
-222.2222222222224,0.14376479284725407
-181.81818181818198,0.144768289304607
-141.41414141414157,0.15060097329861097
-101.01010101010115,0.16211580925482616
-60.60606060606074,0.1750063781223238
-20.20202020202032,0.1815915421179323
20.202020202020094,0.18164297019982992
60.60606060606051,0.17459215499752176
101.0101010101007,0.16212901865512452
141.41414141414134,0.15028761560671974
181.81818181818153,0.1416970192359737
222.22222222222217,0.13962428985340533
262.62626262626236,0.1404646140036182
303.030303030303,0.13722078561114479
343.4343434343432,0.1296604035217987
383.83838383838383,0.1211738797497384
424.242424242424,0.11539401578328135
464.64646464646466,0.11298096421038142
505.05050505050485,0.11227019731408791
545.4545454545455,0.10878112420216701
585.8585858585857,0.10443136366781025
626.2626262626259,0.10125655466288966
666.6666666666665,0.09925406393457264
707.0707070707067,0.0972855622021633
747.4747474747473,0.0950688704493607
787.8787878787875,0.09201633099292925
828.2828282828282,0.08991692590906612
868.6868686868684,0.08934938603043487
909.090909090909,0.08779801953853184
949.4949494949492,0.08377940011963138
989.8989898989898,0.08014769512171967
1030.30303030303,0.0775935402045522
1070.7070707070707,0.07522195789608456
1111.1111111111109,0.07335440704088438
1151.5151515151515,0.07163615160043361
1191.9191919191917,0.06811928853692345
1232.3232323232323,0.06496219120068776
1272.7272727272725,0.06193335219030024
1313.1313131313127,0.06003670344657325
1353.5353535353534,0.058863157528239535
1393.9393939393935,0.056573172740662446
1434.3434343434342,0.055134376403157964
1474.7474747474744,0.0537561781308347
1515.151515151515,0.05249494743908301
1555.5555555555552,0.05132563195651287
1595.9595959595958,0.04991517242177045
1636.363636363636,0.049173873591142475
1676.7676767676767,0.04698416268773669
1717.1717171717169,0.04420636228775432
1757.5757575757575,0.044088093313552075
1797.9797979797977,0.04355142924137051
1838.3838383838383,0.04162694912553079
1878.7878787878785,0.03976956094423535
1919.1919191919187,0.03834073883606594
1959.5959595959594,0.03739690809678574
2000.0,0.036393995478674154
