Gene,RNA_log2FC,RNA_stat,RNA_padj,RNA_baseMean,RNA_ID_rows,H4K16ac_Fold_median,H4K16ac_Fold_mean,H4K16ac_min_FDR,H4K16ac_peak_count,H4K16ac_Fold_nearest_TSS
ADNP-AS1,0.0028633847781705,0.0035296833068232,0.998886305097305,8.514828837800092,1,-0.646311955369217,-0.646311955369217,0.34368943841809,1,-0.646311955369217
ADPRHL1,0.55737940967238,1.381593690442095,0.2912311706150448,34.91668992816286,1,-0.817499608938243,-0.817499608938243,0.331370495683969,1,-0.817499608938243
ADRA1B,0.6553134969351496,3.062387462228933,0.0073547445986523,138.42363137999192,1,-2.48924041750405,-2.48924041750405,0.0100623697237371,2,-4.65042636111053
ADRM1,0.0719685026012039,0.9393233590940748,0.504107570988644,3649.657875918692,1,-0.19272171749275702,-0.19272171749275702,0.583782049588085,2,-0.503173088168526
ADSS1,-0.1280572916809417,-0.4055202803025409,0.8022357172324283,58.1279693566381,1,-0.0225440118069501,-0.0225440118069501,0.978269647535196,1,-0.0225440118069501
AEN,0.0898337190513345,0.9055572900089018,0.5225982729612472,1018.6751199220162,1,-0.809159129940614,-0.809159129940614,0.300299139440092,1,-0.809159129940614
AFAP1,-0.7930952868007154,-4.5788944310967095,2.713758198233463e-05,249.99885778731556,1,-0.414589392056808,-0.414589392056808,0.66561319328156,1,-0.414589392056808
AFAP1-AS1,-5.290569751650711,-4.654365029312061,1.938228620665753e-05,21.186737202342808,1,0.364302470671995,0.364302470671995,0.718552529300019,1,0.364302470671995
AFF3,4.196292104439709,11.637523764377042,1.4776167430634905e-29,154.1436471434993,1,-0.7235934762817484,-0.7235934762817484,0.226940026469183,2,-1.02823048498634
AFG1L,0.375951808272433,1.1811247529177178,0.3803575870062383,58.81280858323976,1,-0.0527156958491564,-0.0527156958491564,0.961335615963249,1,-0.0527156958491564
AFG3L1P,-0.5102712967058178,-1.3294723078740691,0.0784504784901676,156.90724916921783,2,-1.61701005070316,-1.61701005070316,0.0346467018716167,1,-1.61701005070316
AGAP1,-0.1325888700514252,-1.3459495076650856,0.306148214891845,931.4853540581614,1,-0.173067052997137,-0.173067052997137,0.867314187531441,1,-0.173067052997137
AGPAT2,-0.9247852482966524,-8.82633355777855,2.4755577052194515e-17,1320.5566748432848,1,-0.695986078925113,-0.695986078925113,0.418559352895922,1,-0.695986078925113
AGPAT3,-0.8474005121674334,-9.664403789274711,1.3014463859520355e-20,1778.4980046745934,1,-0.0817935639751664,-0.0817935639751664,0.937907616168117,1,-0.0817935639751664
AGRN,-0.8711005066580554,-5.377985995532234,5.732520302654152e-07,7918.689400274104,1,-0.0591279067805517,-0.0591279067805517,0.958570703526529,1,-0.0591279067805517
AHCY,0.0207616434672222,0.3025900726109793,0.8594017639459279,4789.905533685495,1,-1.4418919551044,-1.4418919551044,0.0177818261323512,1,-1.4418919551044
AHDC1,-0.4863046768430947,-3.400469303130324,0.0025799046855841,392.11637638203234,1,-2.17645679452097,-2.17645679452097,0.0421453618458237,1,-2.17645679452097
AHNAK,0.6637173608262704,7.020854994793211,2.9287039695540867e-11,15351.603914385743,1,-0.964182221327254,-0.964182221327254,0.203822483379744,2,-1.08184158865693
AHNAK2,0.1700797207935329,1.0403987816178564,0.4500534726562004,364.4864545761438,1,0.178916315462048,0.178916315462048,0.86802541355671,1,0.178916315462048
AHRR,-2.79256067459257,-3.704000591624617,0.0009029703620561,16.289511146110463,1,-0.26049385427106,-0.7713870334232882,0.0606510254661129,5,-0.160389433820476
AHSA2P,-0.6984574414280967,-4.088200544190749,0.0002128322803703,306.4229930544811,1,-0.408001436378781,-0.408001436378781,0.663558328674672,1,-0.408001436378781
AIFM2,0.0675543875382411,0.6452081677242956,0.6680198631031395,813.0187199697228,1,-0.843234767622442,-0.843234767622442,0.310070408449566,1,-0.843234767622442
AIMP2,-0.5740508085145131,-5.474775004004695,3.435964157335544e-07,879.5227477193815,1,-0.145630280950683,-0.145630280950683,0.869836934444701,1,-0.145630280950683
AKAP8,0.2181374959874696,1.8571836378317288,0.1336311793861113,581.3615824069818,1,-0.186775706096328,-0.186775706096328,0.851844765109173,1,-0.186775706096328
AKNAD1,-1.111244789385374,-2.928699947645438,0.0108397996940779,47.884941794674255,1,0.460056501217338,0.460056501217338,0.632561903848937,1,0.460056501217338
AKR1A1,-0.2512159984163188,-1.8807438483165335,0.1279358779646698,462.0154993311792,1,0.229746828328532,0.229746828328532,0.832929435366509,1,0.229746828328532
AKT1S1,-0.5215693700157954,-5.38472166768041,5.538127243303669e-07,1074.8222958013132,1,-0.262697951478081,-0.262697951478081,0.808554488332346,1,-0.262697951478081
AKT2,0.2936620993752367,3.4845363003203307,0.0019483028148445,2000.4209083855349,1,-0.0894732638035994,-0.0894732638035994,0.932253891177661,1,-0.0894732638035994
ALDH16A1,-1.576899104234732,-10.67415887886856,5.758991312927074e-25,369.1557460715759,1,0.557047333440112,0.557047333440112,0.522654756882713,1,0.557047333440112
ALDH3A2,-0.5702394081318074,-4.474782745473185,4.253563776697388e-05,446.63609196842754,1,-0.799787350688524,-0.799787350688524,0.33561230779651,1,-0.799787350688524
ALDH3B1,0.0857853139985336,0.3601409590880945,0.8284449660993878,101.27744892186848,1,-0.344374753115686,-0.344374753115686,0.703872906959161,1,-0.344374753115686
ALDOA,-0.3479093822560619,-2.297584697339841,0.0539187532637883,284.07755888758084,1,-1.22330114752697,-1.22330114752697,0.129899019381324,1,-1.22330114752697
ALG10,0.6129852119880221,2.650666218660388,0.0229280334193722,123.69266045019604,1,0.321482483870088,0.321482483870088,0.766072673444486,1,0.321482483870088
ALG13,-0.1186758266630784,-0.8056321229300358,0.5774571781055723,375.4355691975454,1,-0.281870273897257,-0.281870273897257,0.790282441659677,1,-0.281870273897257
ALG3,0.156912681678241,1.217518318578929,0.3637432906823646,885.6848510733217,1,-0.802307387636598,-0.802307387636598,0.33561230779651,1,-0.802307387636598
