distance_bp,control_mean,KD_mean,KD_minus_control
-5000.0,-0.00796834966775945,-0.01130906582705882,-0.0033407161592993793
-4898.989898989899,-0.003354762173162447,0.005165787014073149,0.008520549187235587
-4797.979797979798,-0.007048557578327396,0.0010832417614941607,0.008131799339821553
-4696.969696969697,-0.006379436871954497,-0.00020096728396870833,0.006178469587985793
-4595.959595959596,-0.014957718379423918,0.00603731957534015,0.02099503795476407
-4494.949494949495,-0.01631423998614292,0.002547020694697634,0.018861260680840552
-4393.939393939394,-0.012688342666802393,-0.010851352360030151,0.0018369903067722486
-4292.929292929293,-0.013756954107740728,-0.024477303227781348,-0.010720349120040638
-4191.919191919192,-0.016897156114791863,-0.017179584434992512,-0.00028242832020064057
-4090.909090909091,-0.013437955349553908,-0.016086227088694262,-0.0026482717391403472
-3989.89898989899,-0.012000367576049307,-0.01694163922831648,-0.004941271652267178
-3888.8888888888887,-0.016581474853666563,-0.009748113476245919,0.006833361377420636
-3787.878787878788,-0.01763200463938189,-0.0163380605375054,0.0012939441018764966
-3686.868686868687,-0.01252882293146864,-0.021169840943151108,-0.008641018011682473
-3585.8585858585857,-0.01063776895089578,-0.018758021723165614,-0.008120252772269814
-3484.848484848485,-0.010693451851671289,-0.02283339882129579,-0.012139946969624503
-3383.838383838384,0.0008665991097415415,-0.01911802868044247,-0.019984627790184003
-3282.8282828282827,0.0019498965017798846,-0.008685560278390762,-0.010635456780170657
-3181.818181818182,0.0009242900093632812,-0.011563662557376888,-0.012487952566740167
-3080.808080808081,-0.019105817048882204,-0.02046303187278682,-0.001357214823904611
-2979.7979797979797,-0.029425592264837562,-0.01597210678144341,0.013453485483394163
-2878.787878787879,-0.011167618012340634,-0.011734700107044783,-0.0005670820947041379
-2777.777777777778,-0.004566439825885201,-0.01502736416415876,-0.010460924338273557
-2676.7676767676767,-0.011995397259889748,-0.022383783256048524,-0.01038838599615876
-2575.757575757576,-0.015178247616362602,-0.028642887539474308,-0.0134646399231117
-2474.747474747475,-0.015316562189881758,-0.028505719356348543,-0.013189157166466774
-2373.7373737373737,-0.019651103176999744,-0.0328708474734986,-0.013219744296498866
-2272.7272727272725,-0.01945968322576374,-0.032378539382245,-0.012918856156481286
-2171.717171717172,-0.017566690571832515,-0.03252915139865273,-0.014962460826820217
-2070.7070707070707,-0.021201518811241073,-0.023750687325977744,-0.0025491685147366852
-1969.6969696969695,-0.031348888179765284,-0.013967577929892845,0.017381310249872453
-1868.6868686868688,-0.021732542048378583,-0.014001889132968447,0.0077306529154101125
-1767.6767676767677,-0.01409697111344677,-0.0186454055809792,-0.004548434467532421
-1666.6666666666665,-0.012936742949864135,-0.030071975342826386,-0.017135232392962264
-1565.6565656565658,-0.020219887334370964,-0.019389422320505577,0.0008304650138653915
-1464.6464646464647,-0.02182663457660282,-0.01716499811212998,0.0046616364644728545
-1363.6363636363635,-0.0246406508479892,-0.031760663453717884,-0.007120012605728686
-1262.6262626262628,-0.019168529206640424,-0.042283731174628365,-0.023115201967987983
-1161.6161616161617,-0.016042010874490153,-0.03590157858978131,-0.01985956771529118
-1060.6060606060605,-0.018492824567723665,-0.01801281265335721,0.0004800119143664477
-959.5959595959594,-0.01424730792929791,-0.006085469152100049,0.008161838777197885
-858.5858585858587,-0.009655697496615325,-0.0050448916618748086,0.004610805834740503
-757.575757575758,-0.002732523908108794,0.012431522307731663,0.015164046215840459
-656.5656565656564,-0.0009907617126261275,0.02107914744656927,0.022069909159195395
-555.5555555555557,0.009870581470664516,0.018217322674105304,0.008346741203440793
-454.54545454545496,0.02516163120305883,0.023407454026477918,-0.0017541771765809241
-353.53535353535335,0.03040047796620526,0.04187619931936545,0.011475721353160155
-252.52525252525265,0.03912406810426686,0.057842364543466813,0.018718296439199974
-151.51515151515196,0.05104934079154839,0.059763528007177984,0.008714187215629618
-50.50505050505035,0.06130639699103575,0.055802030406627554,-0.005504366584408183
50.50505050505035,0.06616301880982782,0.05281333715138598,-0.013349681658441843
151.51515151515196,0.059099262044413306,0.05947730981712363,0.0003780477727103257
252.52525252525265,0.0422397819569605,0.048260775459258665,0.006020993502298173
353.53535353535335,0.04470138051576458,0.04348281972308402,-0.001218560792680579
454.54545454545496,0.04198023045535732,0.03280140840104789,-0.009178822054309421
555.5555555555557,0.021638560308612383,0.018803044088037072,-0.002835516220575297
656.5656565656564,0.009579988313249802,0.015504935470358196,0.005924947157108399
757.575757575758,0.0066072738733198725,0.005274213546195261,-0.0013330603271246096
858.5858585858587,-0.004369725990411206,-1.3410349660826493e-05,0.004356315640750378
959.5959595959594,-0.01537023044195359,0.0008397066574140724,0.016209937099367674
1060.606060606061,-0.01977522686784054,0.0013306229462502369,0.02110584981409078
1161.6161616161617,-0.015423851983678977,0.0018966986743684032,0.017320550658047374
1262.6262626262624,-0.011469589043676596,-0.0002198260314896921,0.011249763012186893
1363.636363636364,-0.011398096778582735,-0.007779140476878428,0.003618956301704306
1464.6464646464647,-0.014797195597031649,-0.013946557833808656,0.0008506377632229836
1565.6565656565654,-0.020940098605092827,-0.010906898209907995,0.01003320039518484
1666.666666666667,-0.031707883347255925,-0.01919252630022059,0.012515357047035328
1767.6767676767677,-0.02411298318991928,-0.03891886424803837,-0.014805881058119114
1868.6868686868684,-0.011200649555966644,-0.03759197159715069,-0.026391322041184027
1969.69696969697,-0.003772792782942115,-0.025995534779839794,-0.022222741996897645
2070.7070707070707,-0.01006463844655575,-0.02179037076526302,-0.011725732318707284
2171.7171717171714,-0.014996875558944554,-0.009050700006460284,0.005946175552484286
2272.727272727273,-0.018588649115461056,-0.011927686349070153,0.006660962766390921
2373.7373737373737,-0.013645213479715047,-0.021231227527168797,-0.007586014047453773
2474.7474747474744,-0.0192073007744793,-0.02628012867189962,-0.007072827897420312
2575.757575757576,-0.020539572459712278,-0.02665876481573483,-0.006119192356022556
2676.7676767676767,-0.014134858381451072,-0.030190411661628447,-0.016055553280177364
2777.7777777777774,-0.008884539695673432,-0.03689000705308547,-0.02800546735741207
2878.787878787879,-0.008003535714366398,-0.03221610705195839,-0.02421257133759197
2979.7979797979797,-0.010238731988730924,-0.020996684484125585,-0.010757952495394664
3080.8080808080813,-0.012132218619277203,-0.020370018843521114,-0.008237800224243915
3181.818181818182,-0.010870105623319677,-0.019152690036034283,-0.008282584412714605
3282.8282828282827,-0.00980742973318947,-0.020264598551148077,-0.010457168817958619
