analysis,regions_tested,median_KD_minus_control,mean_KD_minus_control,regions_with_decrease,percent_with_decrease,sign_test_p_value,wilcoxon_less_p_value
MOF at H4K16ac-loss sites,208,0.005816220228946935,-0.0002622269136913069,101,48.55769230769231,0.6862372491766693,0.5802407928069537
H4K16ac at MOF-loss sites,34,-0.06325624138488621,0.07619650525757424,19,55.88235294117647,0.30379568063654006,0.3426571899326518
