distance_bp,control_mean,KD_mean,KD_minus_control
-5000.0,0.013210994624231686,0.045253957963572684,0.032042963339340994
-4898.989898989899,0.024153137723975485,0.02304991680590822,-0.0011032209180672785
-4797.979797979798,0.02427180144881654,0.02206398339962169,-0.0022078180491948434
-4696.969696969697,0.025896980053873666,0.036588877488072186,0.010691897434198516
-4595.959595959596,0.02702217367943376,0.03853481457030787,0.011512640890874101
-4494.949494949495,0.01378508193330069,0.040649693654528994,0.026864611721228292
-4393.939393939394,0.03624271158759225,0.05569550915352261,0.019452797565930356
-4292.929292929293,0.08722156395880779,0.036986173316013414,-0.050235390642794364
-4191.919191919192,0.08260086750766213,0.025120905552717756,-0.05747996195494438
-4090.909090909091,0.10871963469472164,0.0343340543874114,-0.0743855803073103
-3989.89898989899,0.11873425055343402,0.04193834555762868,-0.07679590499580533
-3888.8888888888887,0.10406516503000729,0.04733578396463317,-0.05672938106537412
-3787.878787878788,0.1051733059533229,0.05717850590853327,-0.04799480004478968
-3686.868686868687,0.09596846963857011,0.0719229344076252,-0.02404553523094491
-3585.8585858585857,0.08516700629142898,0.09965564475322525,0.01448863846179627
-3484.848484848485,0.08715628824126505,0.07602247972023304,-0.011133808521032006
-3383.838383838384,0.05313072955725586,0.03500331012758924,-0.01812741942966662
-3282.8282828282827,0.047638250003982315,0.03825368334609486,-0.009384566657887457
-3181.818181818182,0.09388077427962281,0.07264805578919739,-0.021232718490425437
-3080.808080808081,0.1059636906862604,0.06395360437205769,-0.04201008631420273
-2979.7979797979797,0.08026306890776173,0.13242230981389153,0.052159240906129826
-2878.787878787879,0.0726454786518348,0.15603151624518496,0.08338603759335017
-2777.777777777778,0.061595408194698394,0.06516821364101409,0.003572805446315695
-2676.7676767676767,0.07958796010447386,0.04547255600264682,-0.03411540410182703
-2575.757575757576,0.08267652782113775,0.08905649658792315,0.0063799687667854136
-2474.747474747475,0.07953248967882244,0.09991780757697315,0.020385317898150693
-2373.7373737373737,0.12468683283085583,0.0907675175008902,-0.03391931532996564
