"Set","SYMBOL","ENTREZID"
"background","MXD1","4084"
"background","MXD3","83463"
"background","MYBBP1A","10514"
"background","MYBL2","4605"
"background","MYC","4609"
"background","MYH7B","57644"
"background","MYH9","4627"
"background","MYL12A","10627"
"background","MYO18A","399687"
"background","MYO1C","4641"
"background","MYO1D","4642"
"background","MYOF","26509"
"background","MZF1-AS1","100131691"
"background","NAA20","51126"
"background","NAA50","80218"
"background","NAA80","24142"
"background","NACA","4666"
"background","NACC1","112939"
"background","NACC2","138151"
"background","NAIF1","203245"
"background","NALT1","101928483"
"background","NAMPT","10135"
"background","NAT9","26151"
"background","NBR2","10230"
"background","NCAPH","23397"
"background","NCBP2AS2","152217"
"background","NCDN","23154"
"background","NCL","4691"
"background","NCLN","56926"
"background","NDUFAF3","25915"
"background","NDUFS2","4720"
"background","NEAT1","283131"
"background","NEBL","10529"
"background","NEDD4L","23327"
"background","NEK3","4752"
"background","NEK6","10783"
"background","NEK9","91754"
"background","NEMP1","23306"
"background","NEURL2","140825"
"background","NFAT5","10725"
"background","NFATC2","4773"
"background","NFATC3","4775"
"background","NFE2L1","4779"
"background","NFIC","4782"
"background","NFIX","4784"
"background","NFU1","27247"
"background","NFX1","4799"
"background","NFYC-AS1","100130557"
"background","NINJ2-AS1","100049716"
"background","NKD1","85407"
"background","NLRX1","79671"
"background","NME2","4831"
"background","NMT1","4836"
"background","NOB1","28987"
"background","NOL3","8996"
"background","NOL4L","140688"
"background","NOL9","79707"
"background","NOLC1","9221"
"background","NONO","4841"
"background","NOP14","8602"
"background","NOP14-AS1","317648"
"background","NOP53","29997"
"background","NOP58","51602"
"background","NPEPL1","79716"
"background","NPM1","4869"
"background","NPRL3","8131"
"background","NPTX2","4885"
"background","NR1D1","9572"
"background","NR1H3","10062"
"background","NRARP","441478"
"background","NRDC","4898"
"background","NRSN2-AS1","100507459"
"background","NSD1","64324"
"background","NSD2","7468"
"background","NSMCE2","286053"
"background","NSUN5","55695"
"background","NT5C","30833"
"background","NTMT1","28989"
"background","NTSR1","4923"
"background","NUAK1","9891"
"background","NUCKS1","64710"
"background","NUDT1","4521"
"background","NUDT19-DT","118827810"
"background","NUDT3","11165"
"background","NUDT8","254552"
"background","NUMBL","9253"
"background","NUP205","23165"
"background","NVL","4931"
"background","NXN","64359"
"background","OAF","220323"
"background","OARD1","221443"
"background","ODC1-DT","101929715"
"background","OIP5-AS1","729082"
"background","OLA1","29789"
"background","OLMALINC","90271"
"background","OPA3","80207"
"background","OSBPL1A","114876"
"background","OSBPL3","26031"
"background","OSER1-DT","100505783"
"background","OST4","100128731"
"background","OTUB1","55611"
"background","OTUD4","54726"
"background","OXLD1","339229"
"background","OXR1","55074"
"background","OXR1-AS1","105375700"
"background","P3H3","10536"
"background","P3H4","10609"
"background","PA2G4","5036"
"background","PABPC1","26986"
"background","PABPN1","8106"
"background","PAFAH1B3","5050"
"background","PAG1","55824"
"background","PAICS","10606"
"background","PAK4","10298"
"background","PALB2","79728"
"background","PALD1","27143"
"background","PALS1","64398"
"background","PAPOLA","10914"
"background","PAQR4","124222"
"background","PARD6B","84612"
"background","PARS2","25973"
"background","PARTICL","100630918"
"background","PARVB","29780"
"background","PAX8","7849"
"background","PAX8-AS1","654433"
"background","PC","5091"
"background","PCBP2","5094"
"background","PCBP4","57060"
"background","PCGF1","84759"
"background","PCGF3","10336"
"background","PCID2","55795"
"background","PCMT1","5110"
"background","PCNT","5116"
"background","PCYT1A","5130"
"background","PDAP1","11333"
"background","PDCD4","27250"
"background","PDE12","201626"
"background","PDE4D","5144"
"background","PDF","64146"
"background","PDGFA","5154"
"background","PDGFA-DT","441307"
"background","PDIA3","2923"
"background","PDIA4","9601"
"background","PDIA5","10954"
"background","PDIK1L","149420"
"background","PDK1-AS1","124900513"
"background","PDLIM2","64236"
"background","PDLIM4","8572"
"background","PDP1","54704"
"background","PDXK","8566"
"background","PEMT","10400"
"background","PER1","5187"
"background","PES1","23481"
"background","PEX10","5192"
"background","PEX12","5193"
"background","PFAS","5198"
"background","PFKFB3","5209"
"background","PFKFB4","5210"
"background","PGAM1","5223"
"background","PGAP2","27315"
"background","PGLS-DT","100507551"
"background","PGP","283871"
"background","PHACTR4","65979"
"background","PHF19","26147"
"background","PHF2","5253"
"background","PHF23","79142"
"background","PHF5A","84844"
"background","PHLDB1","23187"
"background","PHLDB3","653583"
"background","PHYKPL","85007"
"background","PIF1","80119"
"background","PIGL","9487"
"background","PIGU","128869"
"background","PIGV","55650"
"background","PIK3CD","5293"
"background","PIM1","5292"
"background","PIM3","415116"
"background","PIMREG","54478"
"background","PISD","23761"
"background","PITPNA","5306"
"background","PITPNA-AS1","100306951"
"background","PITPNB","23760"
"background","PITX1","5307"
"background","PITX1-AS1","100996485"
"background","PKDCC","91461"
"background","PKIG","11142"
"background","PKM","5315"
"background","PKMYT1","9088"
"background","PKNOX1","5316"
"background","PKP3","11187"
"background","PLA2G6","8398"
"background","PLB1","151056"
"background","PLCD3","113026"
"background","PLD6","201164"
"background","PLEKHA2","59339"
"background","PLEKHF2","79666"
"background","PLEKHH3","79990"
"background","PLEKHJ1","55111"
"background","PLEKHN1","84069"
"background","PLEKHO2","80301"
"background","PLK1","5347"
"background","PLP2","5355"
"background","PLXNB2","23654"
"background","PMM1","5372"
"background","PNKD","25953"
"background","PNKP","11284"
"background","PNPT1","87178"
"background","PNRC2","55629"
"background","POC1A","25886"
"background","POLDIP2","26073"
"background","POLE4","56655"
"background","POLM","27434"
"background","POLR2H","5437"
"background","POLR2J","5439"
"background","POLRMT","5442"
"background","POM121","9883"
"background","POM121C","100101267"
"background","POMGNT1","55624"
"background","POMP","51371"
"background","POMT2","29954"
"background","POR","5447"
"background","PPA1","5464"
"background","PPARD","5467"
"background","PPCDC","60490"
"background","PPFIA3","8541"
"background","PPFIBP1","8496"
"background","PPIF","10105"
"background","PPIP5K1","9677"
"background","PPIP5K2","23262"
"background","PPM1G","5496"
"background","PPP1CA","5499"
"background","PPP1R13L","10848"
"background","PPP1R14B","26472"
"background","PPP1R2","5504"
"background","PPP1R2P2","54036"
"background","PPP1R3F","89801"
"background","PPP2CA-DT","118732304"
"background","PPP2R1A","5518"
"background","PPP2R5C","5527"
"background","PPP6R2","9701"
"background","PPRC1","23082"
"background","PRDM10","56980"
"background","PRDX1","5052"
"background","PRDX3","10935"
"background","PRELID3A","10650"
"background","PREX1","57580"
"background","PRF1","5551"
"background","PRIM1","5557"
"background","PRKAG1","5571"
"background","PRKAR1B-AS1","101926963"
"background","PRKRA","8575"
"background","PRMT1","3276"
"background","PRMT3","10196"
"background","PROSER2-AS1","219731"
"background","PROX1-AS1","100505832"
"background","PRPF38B","55119"
"background","PRR14","78994"
"background","PRR34-AS1","150381"
"background","PRR7-AS1","340037"
"background","PRSS27","83886"
"background","PRX","57716"
"background","PSKH1","5681"
"background","PSMB2","5690"
"background","PSMB5","5693"
"background","PSMC2","5701"
"background","PSMC3","5702"
"background","PSMD3","5709"
"background","PSME3","10197"
"background","PSME4","23198"
"background","PSMG3","84262"
"background","PSMG4","389362"
"background","PSPH","5723"
"background","PTBP1","5725"
"background","PTCD3","55037"
"background","PTCH1","5727"
"background","PTDSS2","81490"
"background","PTGES3","10728"
"background","PTGR2","145482"
"background","PTMA","5757"
"background","PTMS","5763"
"background","PTOV1-AS1","100506033"
"background","PTPN18","26469"
"background","PTPN2","5771"
"background","PTPRJ","5795"
"background","PTTG1IP","754"
"background","PUM1","9698"
"background","PUM2","23369"
"background","PUM3","9933"
"background","PURA","5813"
"background","PURB","5814"
"background","PUS7","54517"
"background","PUSL1","126789"
"background","PVT1","5820"
"background","PWP1","11137"
"background","PXK","54899"
"background","PXN","5829"
"background","QPCT","25797"
"background","QRICH1","54870"
"background","QSOX2","169714"
"background","QTRT1","81890"
"background","R3HDM2","22864"
"background","RAB11A","8766"
"background","RAB1A","5861"
"background","RAB30-DT","100506233"
"background","RAB8A","4218"
"background","RABEP2","79874"
"background","RABGAP1L","9910"
"background","RABGGTB","5876"
"background","RABIF","5877"
"background","RABL3","285282"
"background","RACGAP1","29127"
"background","RACK1","10399"
"background","RAD23A","5886"
"background","RAD50","10111"
"background","RAD51AP1","10635"
"background","RAD51B","5890"
"background","RAD52","5893"
"background","RAD54L","8438"
"background","RAD9B","144715"
"background","RAI1","10743"
"background","RALBP1","10928"
"background","RALGDS","5900"
"background","RALY-AS1","101926888"
"background","RAN","5901"
"background","RANGAP1","5905"
"background","RAP1B","5908"
"background","RAPGEF3","10411"
"background","RARG","5916"
"background","RASA4DP","100133005"
"background","RASSF1","11186"
"background","RBM12","10137"
"background","RBM14-RBM4","100526737"
"background","RBM15B","29890"
"background","RBM20","282996"
"background","RBM25","58517"
"background","RBM3","5935"
"background","RBM39","9584"
"background","RBM4","5936"
"background","RBM8A","9939"
"background","RBMX","27316"
"background","RBMXL1","494115"
"background","RBSN","64145"
"background","RCBTB2","1102"
"background","RCC1","1104"
"background","RCC1L","81554"
"background","RCN1","5954"
"background","RCOR1","23186"
"background","REEP4","80346"
"background","RERE","473"
"background","REV3L","5980"
"background","REX1BD","55049"
"background","REXO1","57455"
"background","RFC3","5983"
"background","RFT1","91869"
"background","RFX3-DT","101929302"
"background","RGS14","10636"
"background","RHBDF2","79651"
"background","RHEB","6009"
"background","RHOB","388"
"background","RHPN2","85415"
"background","RIBC2","26150"
"background","RIMBP2","23504"
"background","RIN1","9610"
"background","RIPK1","8737"
"background","RMND5A","64795"
"background","RMRP","6023"
"background","RN7SL1","6029"
"background","RNASEH1","246243"
"background","RNASEH1-DT","100506054"
"background","RNF167","26001"
"background","RNF213","57674"
"background","RNF220","55182"
"background","RNF26","79102"
"background","RNF32","140545"
"background","RNF41","10193"
"background","RNF43","54894"
"background","RNF44","22838"
"background","RNFT2","84900"
"background","ROCK1","6093"
"background","ROR1","4919"
"background","RPA2","6118"
"background","RPAP3-DT","105369748"
"background","RPL10","6134"
"background","RPL10A","4736"
"background","RPL11","6135"
"background","RPL12","6136"
"background","RPL13A","23521"
"background","RPL14","9045"
"background","RPL15","6138"
"background","RPL18A","6142"
"background","RPL19","6143"
"background","RPL22","6146"
"background","RPL22L1","200916"
"background","RPL23A","6147"
"background","RPL24","6152"
"background","RPL27A","6157"
"background","RPL29","6159"
"background","RPL31","6160"
"background","RPL32","6161"
"background","RPL34","6164"
"background","RPL35","11224"
"background","RPL35A","6165"
"background","RPL36A","6173"
"background","RPL38","6169"
"background","RPL4","6124"
"background","RPL41","6171"
"background","RPL5","6125"
"background","RPL7","6129"
"background","RPL7L1","285855"
"background","RPLP0","6175"
"background","RPLP2","6181"
"background","RPN1","6184"
"background","RPP25","54913"
"background","RPP25L","138716"
"background","RPRD2","23248"
"background","RPS11","6205"
"background","RPS13","6207"
"background","RPS14","6208"
"background","RPS15","6209"
"background","RPS16","6217"
"background","RPS19","6223"
"background","RPS21","6227"
"background","RPS23","6228"
"background","RPS24","6229"
"background","RPS27","6232"
"background","RPS27A","6233"
"background","RPS4X","6191"
"background","RPS5","6193"
"background","RPS6","6194"
"background","RPS6KA4","8986"
"background","RPS7","6201"
"background","RPTOR","57521"
"background","RRM1","6240"
"background","RRM2","6241"
"background","RRP1","8568"
"background","RSAD1","55316"
"background","RSL1D1","26156"
"background","RTEL1","51750"
"background","RTKN","6242"
"background","RTP3","83597"
"background","RUVBL1","8607"
"background","S100A16","140576"
"background","S100A2","6273"
"background","S100A4","6275"
"background","S100PBP","64766"
"background","SAC3D1","29901"
"background","SAE1","10055"
"background","SAFB","6294"
"background","SAP30BP","29115"
"background","SAR1A","56681"
"background","SAR1B","51128"
"background","SART1","9092"
"background","SBNO1-AS1","112268105"
"background","SCAF1","58506"
"background","SCARB1","949"
"background","SCLY","51540"
"background","SCN5A","6331"
"background","SCNN1D","6339"
"background","SCYL1","57410"
"background","SDC1","6382"
"background","SDCBP2-AS1","100507495"
"background","SDF4","51150"
"background","SEC16A","9919"
"background","SECISBP2","79048"
"background","SECTM1","6398"
"background","SEH1L","81929"
"background","SELENOH","280636"
"background","SEMA3B-AS1","101928931"
"background","SEMA4C","54910"
"background","SENP3","26168"
"background","SEPTIN10","151011"
"background","SEPTIN8","23176"
"background","SEPTIN9","10801"
"background","SERBP1","26135"
"background","SERINC5","256987"
"background","SERPINB1","1992"
"background","SERPINE1","5054"
"background","SERPINH1","871"
"background","SERTAD1","29950"
"background","SET","6418"
"background","SETDB2","83852"
"background","SF3A3","10946"
"background","SF3B1","23451"
"background","SF3B2","10992"
"background","SF3B3","23450"
"background","SFN","2810"
"background","SFPQ","6421"
"background","SFXN4","119559"
"background","SGSM3","27352"
"background","SGTA","6449"
"background","SH2B1","25970"
"background","SH2B3","10019"
"background","SH2D2A","9047"
"background","SH3BGRL3","83442"
"background","SH3GL1","6455"
"background","SH3KBP1","30011"
"background","SHB","6461"
"background","SHC1","6464"
"background","SHISA5","51246"
"background","SHMT2","6472"
"background","SHROOM1","134549"
"background","SHROOM2","357"
"background","SIGIRR","59307"
"background","SIGMAR1","10280"
"background","SIK3","23387"
"background","SIL1","64374"
"background","SIPA1L2","57568"
"background","SIPA1L3","23094"
"background","SIRT5","23408"
"background","SKA3","221150"
"background","SKAP1","8631"
"background","SLBP","7884"
"background","SLC10A3","8273"
"background","SLC12A2-DT","644873"
"background","SLC16A1-AS1","100506392"
"background","SLC16A13","201232"
"background","SLC16A3","9123"
"background","SLC16A5","9121"
"background","SLC17A9","63910"
"background","SLC18B1","116843"
"background","SLC1A2","6506"
"background","SLC1A5","6510"
"background","SLC20A1-DT","400999"
"background","SLC22A4","6583"
"background","SLC25A10","1468"
"background","SLC25A17","10478"
"background","SLC25A44","9673"
"background","SLC25A45","283130"
"background","SLC27A5","10998"
"background","SLC29A2","3177"
"background","SLC2A1-DT","440584"
"background","SLC2A14","144195"
"background","SLC2A3","6515"
"background","SLC2A4RG","56731"
"background","SLC30A10","55532"
"background","SLC35E2B","728661"
"background","SLC35F5","80255"
"background","SLC38A1","81539"
"background","SLC38A4-AS1","100288798"
"background","SLC38A5","92745"
"background","SLC38A7","55238"
"background","SLC39A10","57181"
"background","SLC39A13","91252"
"background","SLC3A2","6520"
"background","SLC43A1","8501"
"background","SLC48A1","55652"
"background","SLC4A2","6522"
"background","SLC4A8","9498"
"background","SLC50A1","55974"
"background","SLC5A6","8884"
"background","SLC66A1","54896"
"background","SLC6A6","6533"
"background","SLC7A1","6541"
"background","SLC7A7","9056"
"background","SLC7A8","23428"
"background","SLC9A5","6553"
"background","SLC9A8","23315"
"background","SLC9B2","133308"
"background","SLCO3A1","28232"
"background","SLCO4A1","28231"
"background","SLIT1","6585"
"background","SMAGP","57228"
"background","SMARCC1","6599"
"background","SMARCD1","6602"
"background","SMCO2","341346"
"background","SMG6","23293"
"background","SMG7-AS1","284649"
"background","SMG9","56006"
"background","SMPD4BP","150776"
"background","SMTN","6525"
"background","SMYD5","10322"
"background","SNAI1","6615"
"background","SNAPC1","6617"
"background","SNAPC4","6621"
"background","SNF8","11267"
"background","SNHG1","23642"
"background","SNHG10","283596"
"background","SNHG11","128439"
"background","SNHG12","85028"
"background","SNHG15","285958"
"background","SNHG16","100507246"
"background","SNHG17","388796"
"background","SNHG26","109729180"
"background","SNHG29","125144"
"background","SNHG5","387066"
"background","SNRNP200","23020"
"background","SNRPB","6628"
"background","SNRPC","6631"
"background","SNTA1","6640"
"background","SNU13","4809"
"background","SNX25","83891"
"background","SNX8","29886"
"background","SNX9","51429"
"background","SOD2","6648"
"background","SORBS1","10580"
"background","SOS1","6654"
"background","SOX13","9580"
"background","SP1","6667"
"background","SP2-DT","102724532"
"background","SP3","6670"
"background","SPATA2","9825"
"background","SPATS2","65244"
"background","SPATS2L","26010"
"background","SPEN","23013"
"background","SPG11","80208"
"background","SPHK2","56848"
"background","SPIDR","23514"
"background","SPIRE1","56907"
"background","SPNS1","83985"
"background","SPNS3","201305"
"background","SPOUT1","51490"
"background","SPPL2B","56928"
"background","SPRY4-AS1","101926941"
"background","SPRYD3","84926"
"background","SPRYD4","283377"
"background","SPTBN2","6712"
"background","SPTLC1","10558"
"background","SPTY2D1","144108"
"background","SRA1","10011"
"background","SRCAP","10847"
"background","SREBF1","6720"
"background","SRGAP2","23380"
"background","SRM","6723"
"background","SRP68","6730"
"background","SRPK2","6733"
"background","SRRM1","10250"
"background","SRRM2-AS1","100128788"
"background","SRRM3","222183"
"background","SRRT","51593"
"background","SRSF1","6426"
"background","SRSF2","6427"
"background","SRSF3","6428"
"background","SRSF4","6429"
"background","SRSF7","6432"
"background","SSBP4","170463"
"background","SSC4D","136853"
"background","SSRP1","6749"
"background","SSTR5","6755"
"background","SSU72","29101"
"background","ST3GAL2","6483"
"background","ST3GAL3","6487"
"background","ST3GAL4","6484"
"background","ST7L","54879"
"background","STAG2-AS1","101928402"
"background","STAG3L5P","101735302"
"background","STAP2","55620"
"background","STARD13","90627"
"background","STARD7-AS1","285033"
"background","STAT1","6772"
"background","STAT6","6778"
"background","STIP1","10963"
"background","STK32C","282974"
"background","STK33","65975"
"background","STMN3","50861"
"background","STPG4","285051"
"background","STT3B","201595"
"background","SUGCT","79783"
"background","SUMF2","25870"
"background","SUMO2","6613"
"background","SUN1","23353"
"background","SUN2","25777"
"background","SUPT3H","8464"
"background","SUPT5H","6829"
"background","SYK","6850"
"background","SYNCRIP","10492"
"background","TAF1","6872"
"background","TAF6L","10629"
"background","TAGLN2","8407"
"background","TANC1","85461"
"background","TAPBPL","55080"
"background","TASOR","23272"
"background","TBC1D22A","25771"
"background","TBC1D22A-DT","119863861"
"background","TBC1D24","57465"
"background","TBC1D8","11138"
"background","TBCC","6903"
"background","TBCD","6904"
"background","TBKBP1","9755"
"background","TBL2","26608"
"background","TBRG4","9238"
"background","TBX3","6926"
"background","TCAIM","285343"
"background","TCERG1","10915"
"background","TCF20","6942"
"background","TCF25","22980"
"background","TCF3","6929"
"background","TCHP","84260"
"background","TCIRG1","10312"
"background","TCOF1","6949"
"background","TDP1","55775"
"background","TDRD3","81550"
"background","TEDC1","283643"
"background","TEF","7008"
"background","TENT4A","11044"
"background","TENT5B","115572"
"background","TEPSIN","146705"
"background","TERF2","7014"
"background","TET3","200424"
"background","TEX22","647310"
"background","TEX264","51368"
"background","TFAP4","7023"
"background","TFDP1","7027"
"background","TFR2","7036"
"background","TFRC","7037"
"background","TGFA","7039"
"background","TGFBI","7045"
"background","TGFBRAP1","9392"
"background","TGIF1","7050"
"background","THAP7-AS1","439931"
"background","THAP8","199745"
"background","THEM4","117145"
"background","THG1L","54974"
"background","THORLNC","100506797"
"background","THRA","7067"
"background","THUMPD3-AS1","440944"
"background","TIAL1","7073"
"background","TICAM1","148022"
"background","TICRR","90381"
"background","TIGD1","200765"
"background","TIMELESS","8914"
"background","TIMM13","26517"
"background","TIMM17A","10440"
"background","TIMM50","92609"
"background","TIMM9","26520"
"background","TIMP2","7077"
"background","TKFC","26007"
"background","TLE2","7089"
"background","TLNRD1","59274"
"background","TM9SF4","9777"
"background","TMED10","10972"
"background","TMED2-DT","101927415"
"background","TMED9","54732"
"background","TMEM11-DT","107984969"
"background","TMEM116","89894"
"background","TMEM120B","144404"
"background","TMEM121","80757"
"background","TMEM134","80194"
"background","TMEM143","55260"
"background","TMEM145","284339"
"background","TMEM147-AS1","100506469"
"background","TMEM161A","54929"
"background","TMEM163","81615"
"background","TMEM179B","374395"
"background","TMEM18","129787"
"background","TMEM183A","92703"
"background","TMEM184A","202915"
"background","TMEM184B","25829"
"background","TMEM185B","79134"
"background","TMEM187","8269"
"background","TMEM204","79652"
"background","TMEM209","84928"
"background","TMEM216","51259"
"background","TMEM223","79064"
"background","TMEM238","388564"
"background","TMEM259","91304"
"background","TMEM39A","55254"
"background","TMEM80","283232"
"background","TMEM87B","84910"
"background","TMEM94","9772"
"background","TNFRSF12A","51330"
"background","TNFRSF18","8784"
"background","TNFRSF19","55504"
"background","TNFRSF1A","7132"
"background","TNK2","10188"
"background","TNKS1BP1","85456"
"background","TNPO2","30000"
"background","TNRC18","84629"
"background","TNS2-AS1","283335"
"background","TNS3","64759"
"background","TNS4","84951"
"background","TOGARAM1","23116"
"background","TOM1L2","146691"
"background","TOMM34","10953"
"background","TOMM40","10452"
"background","TOP1","7150"
"background","TOP1P1","7151"
"background","TOR1A","1861"
"background","TOR1AIP1","26092"
"background","TOR4A","54863"
"background","TP53","7157"
"background","TP53BP2","7159"
"background","TPCN2","219931"
"background","TPI1","7167"
"background","TPT1","7178"
"background","TRAF4","9618"
"background","TRAP1","10131"
"background","TRAPPC12","51112"
"background","TRAPPC2L","51693"
"background","TRIB1","10221"
"background","TRIB1AL","130406855"
"background","TRIB3","57761"
"background","TRIM16L","147166"
"background","TRIM2","23321"
"background","TRIM29","23650"
"background","TRIM44","54765"
"background","TRIM47","91107"
"background","TRIM52-AS1","100507602"
"background","TRIM56","81844"
"background","TRIM65","201292"
"background","TRIP6","7205"
"background","TRMO","51531"
"background","TRMT112","51504"
"background","TRMT61A","115708"
"background","TROAP","10024"
"background","TRPC4AP","26133"
"background","TRPM2","7226"
"background","TSC1","7248"
"background","TSC22D1","8848"
"background","TSC22D2","9819"
"background","TSC22D4","81628"
"background","TSEN2","80746"
"background","TSEN54","283989"
"background","TSKU","25987"
"background","TSPAN1","10103"
"background","TSPAN17","26262"
"background","TSPAN4","7106"
"background","TSPAN5","10098"
"background","TSPAN5-DT","105377342"
"background","TSPAN9","10867"
"background","TSPO","706"
"background","TSPOAP1-AS1","100506779"
"background","TSR1","55720"
"background","TSSC4","10078"
"background","TTC31","64427"
"background","TTC32","130502"
"background","TTC7A","57217"
"background","TTC9C","283237"
"background","TTLL12","23170"
"background","TTYH3","80727"
"background","TUBA1B-AS1","105369760"
"background","TUBA1C","84790"
"background","TUBA4A","7277"
"background","TUBB4B","10383"
"background","TUBB6","84617"
"background","TUBGCP6","85378"
"background","TUT1","64852"
"background","TXLNG","55787"
"background","TXN2","25828"
"background","TXNDC15","79770"
"background","TXNRD1","7296"
"background","TXNRD2","10587"
"background","TYSND1","219743"
"background","U2AF2","11338"
"background","UBA2","10054"
"background","UBA52","7311"
"background","UBAC2-AS1","100289373"
"background","UBALD2","283991"
"background","UBAP2","55833"
"background","UBAP2L","9898"
"background","UBB","7314"
"background","UBE2C","11065"
"background","UBE2D2","7322"
"background","UBE2Q1","55585"
"background","UBE2Q2","92912"
"background","UBE2S","27338"
"background","UBE2V2","7336"
"background","UBLCP1","134510"
"background","UBTF","7343"
"background","UBXN1","51035"
"background","UBXN10","127733"
"background","UBXN2A","165324"
"background","UCK2","7371"
"background","UCKL1","54963"
"background","UFC1","51506"
"background","UFSP1","402682"
"background","UHRF1","29128"
"background","ULK3","25989"
"background","UMPS","7372"
"background","UNC93B1","81622"
"background","UNG","7374"
"background","UNKL","64718"
"background","UPF2","26019"
"background","UQCC1","55245"
"background","UQCC2","84300"
"background","UQCC5","440957"
"background","UQCC6","728568"
"background","UQCR10","29796"
"background","UQCR11","10975"
"background","UQCRC1","7384"
"background","UROC1","131669"
"background","USE1","55850"
"background","USP1","7398"
"background","USP22","23326"
"background","USP3","9960"
"background","USP34-DT","105377633"
"background","USP36","57602"
"background","USP54","159195"
"background","USP9X","8239"
"background","UTP14A","10813"
"background","UTP4","84916"
"background","UVSSA","57654"
"background","VAC14","55697"
"background","VAMP2","6844"
"background","VAMP5","10791"
"background","VCP","7415"
"background","VDAC1","7416"
"background","VDAC2","7417"
"background","VGF","7425"
"background","VGLL4","9686"
"background","VMA21","203547"
"background","VMP1","81671"
"background","VOPP1","81552"
"background","VPS16","64601"
"background","VPS25","84313"
"background","VPS33A","65082"
"background","VPS35","55737"
"background","VPS37C","55048"
"background","VPS45","11311"
"background","VPS72","6944"
"background","VPS9D1-AS1","100128881"
"background","VSIG10L","147645"
"background","VWA2","340706"
"background","WAC-AS1","220906"
"background","WARS2-AS1","101929147"
"background","WASH9P","100996442"
"background","WDCP","80304"
"background","WDFY2","115825"
"background","WDR12","55759"
"background","WDR13","64743"
"background","WDR4","10785"
"background","WDR43","23160"
"background","WDR74","54663"
"background","WFDC3","140686"
"background","WFS1","7466"
"background","WNK1","65125"
"background","WNT10A","80326"
"background","XIAP","331"
"background","XPNPEP3","63929"
"background","XPO4","64328"
"background","XPO6","23214"
"background","XPOT","11260"
"background","XRCC2","7516"
"background","XRCC3","7517"
"background","XRCC5","7520"
"background","XXYLT1","152002"
"background","YBEY","54059"
"background","YBX3","8531"
"background","YDJC","150223"
"background","YEATS4","8089"
"background","YJU2","55702"
"background","YKT6","10652"
"background","YPEL3-DT","101928595"
"background","YWHAB","7529"
"background","YWHAG","7532"
"background","YWHAH","7533"
"background","ZBED5","58486"
"background","ZBTB17","7709"
"background","ZBTB2","57621"
"background","ZBTB38","253461"
"background","ZBTB44","29068"
"background","ZBTB45","84878"
"background","ZBTB49","166793"
"background","ZBTB5","9925"
"background","ZBTB7A","51341"
"background","ZBTB7B","51043"
"background","ZBTB8OS","339487"
"background","ZC3H4","23211"
"background","ZCCHC24","219654"
"background","ZCCHC8","55596"
"background","ZDHHC5","25921"
"background","ZER1","10444"
"background","ZFAND2A-DT","101927021"
"background","ZFAND5","7763"
"background","ZFAT","57623"
"background","ZFHX3","463"
"background","ZFP36","7538"
"background","ZFP36L1","677"
"background","ZFP62","643836"
"background","ZFYVE27","118813"
"background","ZHX2","22882"
"background","ZKSCAN1","7586"
"background","ZKSCAN5","23660"
"background","ZMIZ2","83637"
"background","ZMYM4","9202"
"background","ZMYND8","23613"
"background","ZNF131","7690"
"background","ZNF143","7702"
"background","ZNF213-AS1","100507458"
"background","ZNF217","7764"
"background","ZNF232","7775"
"background","ZNF260","339324"
"background","ZNF263","10127"
"background","ZNF295-AS1","150142"
"background","ZNF3","7551"
"background","ZNF335","63925"
"background","ZNF367","195828"
"background","ZNF384","171017"
"background","ZNF395","55893"
"background","ZNF398","57541"
"background","ZNF428","126299"
"background","ZNF460","10794"
"background","ZNF469","84627"
"background","ZNF48","197407"
"background","ZNF507","22847"
"background","ZNF513","130557"
"background","ZNF555","148254"
"background","ZNF567-DT","101927621"
"background","ZNF574","64763"
"background","ZNF580","51157"
"background","ZNF594-DT","100130950"
"background","ZNF608","57507"
"background","ZNF628","89887"
"background","ZNF629","23361"
"background","ZNF653","115950"
"background","ZNF668","79759"
"background","ZNF689","115509"
"background","ZNF740","283337"
"background","ZNF747-DT","107984875"
"background","ZNF76","7629"
"background","ZNF764","92595"
"background","ZNF768","79724"
"background","ZNF785","146540"
"background","ZNF79","7633"
"background","ZNF8-ERVK3-1","108903150"
"background","ZNF837","116412"
"background","ZNF865","100507290"
"background","ZNHIT2","741"
"background","ZNRD2","10534"
"background","ZNRF3","84133"
"background","ZSCAN20","7579"
"background","ZSCAN21","7589"
"background","ZSCAN25","221785"
"background","ZSCAN29","146050"
"background","ZZZ3","26009"
"loss_down","ACTR3B","57180"
"loss_down","ZNF469","84627"
"loss_down","KREMEN1","83999"
"loss_down","SLC43A1","8501"
"loss_down","C5","727"
"loss_down","PDIA4","9601"
"loss_down","LIMK1","3984"
"loss_down","EPHX1","2052"
"loss_down","AP5Z1","9907"
"loss_down","TNFRSF18","8784"
"loss_down","FBXW4","6468"
"loss_down","ACTR3C","653857"
"loss_down","SUMF2","25870"
"loss_down","HPDL","84842"
"loss_down","FASTK","10922"
"loss_down","LINC-PINT","378805"
"loss_down","TBRG4","9238"
"loss_down","FGF3","2248"
"loss_down","TP53","7157"
"loss_down","TSPAN5","10098"
"loss_up","TSC22D2","9819"
"loss_up","LINC00910","100130581"
"loss_up","AOPEP","84909"
"loss_up","ETV6","2120"
"loss_up","CORO1C","23603"
"loss_up","ELF1","1997"
