"Set","SYMBOL","ENTREZID"
"background","CAMKMT","79823"
"background","CAMLG","819"
"background","CAMTA1","23261"
"background","CARD19","84270"
"background","CARD9","64170"
"background","CARM1","10498"
"background","CASC3","22794"
"background","CASP9","842"
"background","CBX3","11335"
"background","CBX5","23468"
"background","CBX8","57332"
"background","CCAR1","55749"
"background","CCDC124","115098"
"background","CCDC170","80129"
"background","CCDC174","51244"
"background","CCDC18-AS1","100131564"
"background","CCDC57","284001"
"background","CCDC71","64925"
"background","CCDC87","55231"
"background","CCDC9","26093"
"background","CCDC97","90324"
"background","CCDC9B","388115"
"background","CCNB2","9133"
"background","CCND1","595"
"background","CCNF","899"
"background","CCNL1","57018"
"background","CCNL2","81669"
"background","CCT4","10575"
"background","CCT6B","10693"
"background","CCT7","10574"
"background","CD164","8763"
"background","CD63","967"
"background","CD70","970"
"background","CD82","3732"
"background","CD9","928"
"background","CDC20-DT","105378687"
"background","CDC25A","993"
"background","CDC25B","994"
"background","CDC34","997"
"background","CDC6","990"
"background","CDCA4","55038"
"background","CDH13","1012"
"background","CDHR2","54825"
"background","CDK11A","728642"
"background","CDK11B","984"
"background","CDK15","65061"
"background","CDK19","23097"
"background","CDK4","1019"
"background","CDK8","1024"
"background","CDKN1B","1027"
"background","CDKN2B-AS1","100048912"
"background","CDS2","8760"
"background","CEACAM16-AS1","107985305"
"background","CELF1","10658"
"background","CENPM","79019"
"background","CENPV","201161"
"background","CEP112","201134"
"background","CEP131","22994"
"background","CEP250","11190"
"background","CFAP126","257177"
"background","CFAP144","440585"
"background","CFAP251","144406"
"background","CFAP418","157657"
"background","CFAP68","64776"
"background","CFAP74","85452"
"background","CFAP97","57587"
"background","CGREF1","10669"
"background","CHASERR","100507217"
"background","CHCHD4","131474"
"background","CHD6","84181"
"background","CHEK1","1111"
"background","CHFR","55743"
"background","CHI3L1","1116"
"background","CHPF","79586"
"background","CHST11","50515"
"background","CHST15","51363"
"background","CHTOP","26097"
"background","CIC","23152"
"background","CIMIP2C","339778"
"background","CIT","11113"
"background","CLCF1","23529"
"background","CLDN4","1364"
"background","CLEC11A","6320"
"background","CLIP1","6249"
"background","CLIP2","7461"
"background","CLNS1A","1207"
"background","CLPTM1","1209"
"background","CLTC","1213"
"background","CNBP","7555"
"background","CNOT1","23019"
"background","CNOT8","9337"
"background","CNPY2","10330"
"background","COA1","55744"
"background","COA4","51287"
"background","COA7","65260"
"background","COASY","80347"
"background","COG1","9382"
"background","COL16A1","1307"
"background","COL1A1","1277"
"background","COL2A1","1280"
"background","COL4A2-AS1","100874203"
"background","COL5A1","1289"
"background","COL6A3","1293"
"background","COL7A1","1294"
"background","COLEC11","78989"
"background","COMMD10","51397"
"background","COMMD4","54939"
"background","COMTD1","118881"
"background","COPS6","10980"
"background","COPS7A","50813"
"background","COPZ1","22818"
"background","COQ8B","79934"
"background","COQ9","57017"
"background","CORO1C","23603"
"background","COX20","116228"
"background","COX7A2L","9167"
"background","COX7B","1349"
"background","CPSF2","53981"
"background","CPSF4","10898"
"background","CPSF7","79869"
"background","CRABP2","1382"
"background","CRCP","27297"
"background","CRKL","1399"
"background","CRYGN","155051"
"background","CRYZL1","9946"
"background","CSE1L","1434"
"background","CSF2","1437"
"background","CSNK1A1","1452"
"background","CSNK1E","1454"
"background","CST5","1473"
"background","CST7","8530"
"background","CST9","128822"
"background","CSTB","1476"
"background","CTC-338M12.4","101928649"
"background","CTDSP1","58190"
"background","CTDSPL","10217"
"background","CTDSPL2","51496"
"background","CTNNA1","1495"
"background","CTPS1","1503"
"background","CTR9","9646"
"background","CTSZ","1522"
"background","CUEDC1","404093"
"background","CUL5","8065"
"background","CUTC","51076"
"background","CUX1","1523"
"background","CXXC5","51523"
"background","CYB561","1534"
"background","CYB5D2","124936"
"background","CYP20A1","57404"
"background","CYREN","78996"
"background","D2HGDH","728294"
"background","DAGLB","221955"
"background","DARS1-AS1","101928243"
"background","DAZAP1","26528"
"background","DAZAP2","9802"
"background","DCAF10","79269"
"background","DCAKD","79877"
"background","DCLRE1C","64421"
"background","DCPS","28960"
"background","DDB2","1643"
"background","DDN","23109"
"background","DDOST","1650"
"background","DDX1","1653"
"background","DDX11","1663"
"background","DDX17","10521"
"background","DDX21","9188"
"background","DDX3X","1654"
"background","DDX46","9879"
"background","DDX5","1655"
"background","DDX50","79009"
"background","DDX54","79039"
"background","DDX56","54606"
"background","DDX6","1656"
"background","DEDD","9191"
"background","DEDD2","162989"
"background","DENND6B","414918"
"background","DEPDC5","9681"
"background","DGCR8","54487"
"background","DGKA","1606"
"background","DGLUCY","80017"
"background","DHODH","1723"
"background","DHPS","1725"
"background","DHX15","1665"
"background","DHX35","60625"
"background","DHX8","1659"
"background","DIAPH1","1729"
"background","DKC1","1736"
"background","DKK3","27122"
"background","DLEU1","10301"
"background","DLEU2","8847"
"background","DLGAP1-AS2","84777"
"background","DLGAP4","22839"
"background","DMAC2L","27109"
"background","DMKN","93099"
"background","DMTF1-AS1","101927420"
"background","DNAAF2","55172"
"background","DNAAF5","54919"
"background","DNAH12","201625"
"background","DNAH17-AS1","100996295"
"background","DNAJB1","3337"
"background","DNAJB12","54788"
"background","DNAJB4","11080"
"background","DNAJB6","10049"
"background","DNAJC11","55735"
"background","DNAJC27","51277"
"background","DNAJC7","7266"
"background","DNAJC9","23234"
"background","DNM2","1785"
"background","DNPEP","23549"
"background","DOCK4","9732"
"background","DOCK9","23348"
"background","DOK7","285489"
"background","DPAGT1","1798"
"background","DPH7","92715"
"background","DPP7","29952"
"background","DRG1","4733"
"background","DRG2","1819"
"background","DSCC1","79075"
"background","DSCR9","257203"
"background","DSN1","79980"
"background","DSP-AS1","101928076"
"background","DTNB","1838"
"background","DTX3","196403"
"background","DTYMK","1841"
"background","DUS3L","56931"
"background","DUSP1","1843"
"background","DUSP2","1844"
"background","DUSP28","285193"
"background","DUSP6","1848"
"background","DVL1","1855"
"background","DVL2","1856"
"background","DYNC1H1","1778"
"background","DYNC1LI1","51143"
"background","DYNC2I2","89891"
"background","E2F4","1874"
"background","EBLN3P","100506710"
"background","ECT2","1894"
"background","EDAR","10913"
"background","EDN2","1907"
"background","EEF1A1","1915"
"background","EEF1AKMT3","25895"
"background","EEF2","1938"
"background","EGFR","1956"
"background","EGLN2","112398"
"background","EGR1","1958"
"background","EHD1","10938"
"background","EHF","26298"
"background","EIF2B4","8890"
"background","EIF2B5","8893"
"background","EIF2S2","8894"
"background","EIF3A","8661"
"background","EIF3J-DT","645212"
"background","EIF3L","51386"
"background","EIF4A1","1973"
"background","EIF4B","1975"
"background","EIF4E","1977"
"background","EIF4EBP1","1978"
"background","EIF4G1","1981"
"background","EIF5","1983"
"background","ELF1","1997"
"background","ELFN1-AS1","101927125"
"background","ELFN2","114794"
"background","ELK3","2004"
"background","ELOA","6924"
"background","ELOB","6923"
"background","ELP6","54859"
"background","EMC4","51234"
"background","EMD","2010"
"background","EMG1","10436"
"background","EML3","256364"
"background","EMSY-DT","124902718"
"background","ENO3","2027"
"background","ENTPD5","957"
"background","ENTPD6","955"
"background","ENTPD8","377841"
"background","EOLA2-DT","100272228"
"background","EP300","2033"
"background","EPAS1","2034"
"background","EPHX1","2052"
"background","EPS8L2","64787"
"background","EPS8L3","79574"
"background","ERAP1","51752"
"background","ERC2","26059"
"background","ERCC1","2067"
"background","ERCC6L2-AS1","100128782"
"background","ERF","2077"
"background","ERH","2079"
"background","ERI2","112479"
"background","ERLIN1","10613"
"background","ESPL1","9700"
"background","ESRP2","80004"
"background","ESRRA","2101"
"background","ETV4","2118"
"background","ETV6","2120"
"background","EVA1C","59271"
"background","EWSR1","2130"
"background","EXOC3-AS1","116349"
"background","EXOC7","23265"
"background","EXOSC2","23404"
"background","EXOSC8","11340"
"background","EXOSC9","5393"
"background","EXPH5","23086"
"background","EZH2","2146"
"background","F12","2161"
"background","FAAP20","199990"
"background","FADD","8772"
"background","FADS1","3992"
"background","FADS3","3995"
"background","FAF2","23197"
"background","FAM114A2","10827"
"background","FAM118A","55007"
"background","FAM118B","79607"
"background","FAM120C","54954"
"background","FAM156A","29057"
"background","FAM174B","400451"
"background","FAM174C","55009"
"background","FAM178B","51252"
"background","FAM200A","221786"
"background","FAM216A","29902"
"background","FAM3A","60343"
"background","FAM53A","152877"
"background","FAM83D","81610"
"background","FAM83F","113828"
"background","FAM86C2P","645332"
"background","FAM86JP","100125556"
"background","FAM98C","147965"
"background","FARP2","9855"
"background","FARSA","2193"
"background","FASN","2194"
"background","FASTK","10922"
"background","FBRS","64319"
"background","FBXL18","80028"
"background","FBXL19-AS1","283932"
"background","FBXL5","26234"
"background","FBXO10","26267"
"background","FBXO22","26263"
"background","FBXW4","6468"
"background","FBXW9","84261"
"background","FCHSD2","9873"
"background","FDXR","2232"
"background","FERMT1","55612"
"background","FGD5-AS1","100505641"
"background","FGF18","8817"
"background","FGF3","2248"
"background","FGFR1OP2","26127"
"background","FHAD1","114827"
"background","FHIT","2272"
"background","FIS1","51024"
"background","FIZ1","84922"
"background","FKBP11","51303"
"background","FKBP9","11328"
"background","FKBP9P1","360132"
"background","FKTN","2218"
"background","FLCN","201163"
"background","FMC1","154791"
"background","FMNL1-DT","339192"
"background","FOSL1","8061"
"background","FOSL2","2355"
"background","FOXK1","221937"
"background","FOXK2","3607"
"background","FOXN3","1112"
"background","FOXRED2","80020"
"background","FSCN1","6624"
"background","FSTL4","23105"
"background","FTL","2512"
"background","FTSJ1","24140"
"background","FTSJ3","117246"
"background","FUCA2","2519"
"background","FUOM","282969"
"background","FUS","2521"
"background","FUT4","2526"
"background","FYN","2534"
"background","G6PC3","92579"
"background","GABPA","2551"
"background","GABPB1-AS1","100129387"
"background","GABPB2","126626"
"background","GADD45B","4616"
"background","GALNT6","11226"
"background","GANAB","23193"
"background","GART","2618"
"background","GAS5","60674"
"background","GAS6","2621"
"background","GATAD2A","54815"
"background","GATB","5188"
"background","GDF15","9518"
"background","GDF9","2661"
"background","GDI2","2665"
"background","GDPD5","81544"
"background","GEMIN4","50628"
"background","GEMIN8","54960"
"background","GET4","51608"
"background","GGA3","23163"
"background","GINS1","9837"
"background","GIT1","28964"
"background","GJA3","2700"
"background","GJB3","2707"
"background","GLI2","2736"
"background","GLI3","2737"
"background","GLOD4","51031"
"background","GLRX","2745"
"background","GLS","2744"
"background","GMFB","2764"
"background","GMNN","51053"
"background","GMPPB","29925"
"background","GMPS","8833"
"background","GNA12","2768"
"background","GNA13","10672"
"background","GNL3L","54552"
"background","GNPDA1","10007"
"background","GOLM1","51280"
"background","GOLM2","113201"
"background","GORASP2","26003"
"background","GPER1","2852"
"background","GPR137","56834"
"background","GPR157","80045"
"background","GPSM1","26086"
"background","GPX1","2876"
"background","GRAMD4","23151"
"background","GRB7","2886"
"background","GRIK4","2900"
"background","GRK2","156"
"background","GRK6","2870"
"background","GRSF1","2926"
"background","GSK3B-DT","107986119"
"background","GSR","2936"
"background","GSS","2937"
"background","GSTP1","2950"
"background","GSX1","219409"
"background","GTF2I","2969"
"background","GTF2IRD1","9569"
"background","GTF2IRD2B","389524"
"background","GTF3A","2971"
"background","GTF3C2-AS2","105374363"
"background","GTF3C6","112495"
"background","GTPBP1","9567"
"background","GUSB","2990"
"background","GZF1","64412"
"background","H2BC17","8348"
"background","H3-3B","3021"
"background","H4C1","8359"
"background","HACD3","51495"
"background","HACL1","26061"
"background","HAPSTR1","29035"
"background","HAS3","3038"
"background","HAUS7","55559"
"background","HCST","10870"
"background","HDAC1","3065"
"background","HDAC4","9759"
"background","HDAC7","51564"
"background","HDGF","3068"
"background","HDLBP","3069"
"background","HEMK1","51409"
"background","HERC1","8925"
"background","HERPUD1","9709"
"background","HES1","3280"
"background","HEXIM1","10614"
"background","HEXIM2-AS1","112268203"
"background","HIGD2A","192286"
"background","HINT2","84681"
"background","HINT3","135114"
"background","HMGA1","3159"
"background","HMGB2","3148"
"background","HMGN2","3151"
"background","HMMR","3161"
"background","HMOX1","3162"
"background","HNRNPA0","10949"
"background","HNRNPAB","3182"
"background","HNRNPC","3183"
"background","HNRNPD","3184"
"background","HNRNPDL","9987"
"background","HNRNPF","3185"
"background","HNRNPK","3190"
"background","HNRNPUL1","11100"
"background","HOOK2","29911"
"background","HOTAIR","100124700"
"background","HOXA10-AS","100874323"
"background","HOXA11-AS","221883"
"background","HOXA7","3204"
"background","HOXB-AS1","100874362"
"background","HOXC-AS3","100874365"
"background","HOXC6","3223"
"background","HPDL","84842"
"background","HRCT1","646962"
"background","HS1BP3","64342"
"background","HS1BP3-IT1","100874343"
"background","HSD17B1-AS1","108783654"
"background","HSD17B10","3028"
"background","HSDL1","83693"
"background","HSDL2","84263"
"background","HSF2BP","11077"
"background","HSP90AA1","3320"
"background","HSP90AB1","3326"
"background","HSPA4","3308"
"background","HSPA4L","22824"
"background","HSPB1","3315"
"background","HSPD1","3329"
"background","HTRA2","27429"
"background","HYLS1","219844"
"background","IBA57","200205"
"background","ICMT-DT","148645"
"background","ID2","3398"
"background","IDH1","3417"
"background","IDH3G","3421"
"background","IER2","9592"
"background","IER5","51278"
"background","IFITM1","8519"
"background","IFITM2","10581"
"background","IFITM3","10410"
"background","IFRD2","7866"
"background","IFT140","9742"
"background","IFT88","8100"
"background","IGF2BP1","10642"
