"SampleID","Condition","Replicate","bamReads","bamControl","Spikein","Peaks","PeakCaller"
"Scramble_rep1","Scramble",1,"p53kdbamfiles/human/Scr_H4K16ac_1_S0_L001.sorted.bam","p53kdbamfiles/human/Scr_Input1_S0_L001.sorted.bam","p53kdbamfiles/dm6/Scr_H4K16ac_1_S0_L001.sorted.bam","macs3_results_p53kd/peaks/Scramble_H4K16ac_rep1/Scramble_H4K16ac_rep1_peaks.broadPeak","macs"
"Scramble_rep2","Scramble",2,"p53kdbamfiles/human/Scr_H4K16ac_2_S0_L001.sorted.bam","p53kdbamfiles/human/Scr_Input2_S0_L001.sorted.bam","p53kdbamfiles/dm6/Scr_H4K16ac_2_S0_L001.sorted.bam","macs3_results_p53kd/peaks/Scramble_H4K16ac_rep2/Scramble_H4K16ac_rep2_peaks.broadPeak","macs"
"p53KD_rep1","p53KD",1,"p53kdbamfiles/human/P53_H4K16ac_1_S0_L001.sorted.bam","p53kdbamfiles/human/MutP53_Input1_S0_L001.sorted.bam","p53kdbamfiles/dm6/P53_H4K16ac_1_S0_L001.sorted.bam","macs3_results_p53kd/peaks/p53KD_H4K16ac_rep1/p53KD_H4K16ac_rep1_peaks.broadPeak","macs"
"p53KD_rep2","p53KD",2,"p53kdbamfiles/human/P53_H4K16ac_2_S0_L001.sorted.bam","p53kdbamfiles/human/MutP53_Input2_S0_L001.sorted.bam","p53kdbamfiles/dm6/P53_H4K16ac_2_S0_L001.sorted.bam","macs3_results_p53kd/peaks/p53KD_H4K16ac_rep2/p53KD_H4K16ac_rep2_peaks.broadPeak","macs"
