distance_bp,Scramble,YEATS2 KD
-2000.0,0.03648824154211089,0.03860136873483333
-1959.5959595959596,0.03713160122962649,0.03904881219974861
-1919.1919191919192,0.03749403962803678,0.038842321553633805
-1878.7878787878788,0.03784598781660219,0.03857499039110635
-1838.3838383838383,0.03851336345432805,0.03879012520056928
-1797.979797979798,0.03918261247967779,0.03908932043861871
-1757.5757575757575,0.03977880304981528,0.03968072328933145
-1717.1717171717173,0.04058588635257052,0.04076394817007149
-1676.7676767676767,0.04137507453405848,0.04220163776221147
-1636.3636363636365,0.04160152293270282,0.04308666021045421
-1595.9595959595958,0.04166184774855634,0.044349031988194204
-1555.5555555555557,0.04195977930299657,0.044676042814391366
-1515.1515151515152,0.04289071141293536,0.04518774158090127
-1474.7474747474748,0.04378576071186182,0.045883417532045966
-1434.3434343434344,0.04506513442232011,0.047378208173019354
-1393.939393939394,0.04665107078033072,0.048719737973584185
-1353.5353535353536,0.04846407027886573,0.04977020514356436
-1313.1313131313132,0.04978787056008769,0.05144670753241302
-1272.7272727272727,0.05162602216490023,0.05265514286680841
-1232.3232323232323,0.05242081385789536,0.053686743366402265
-1191.919191919192,0.05376880327015336,0.05624662360215208
-1151.5151515151515,0.056019265434294585,0.05777896395332656
-1111.1111111111113,0.057710327963819585,0.05981347517044049
-1070.7070707070707,0.06041543947136379,0.06231098590985103
-1030.3030303030305,0.06335086784226815,0.06497459301115287
-989.89898989899,0.06520563136751144,0.06855895936643805
-949.4949494949497,0.06829685187233288,0.07186601584089997
-909.0909090909092,0.071138709452717,0.07516109301228774
-868.6868686868688,0.07388270271042102,0.07807766568321958
-828.2828282828284,0.07786891354129886,0.08100885368405636
-787.878787878788,0.08141557193107876,0.08499302099811859
-747.4747474747476,0.0854115842955666,0.08951728684989269
-707.0707070707072,0.0899381018145856,0.0933521461498258
-666.6666666666667,0.09503725621495049,0.09771480819942781
-626.2626262626263,0.10015475840680486,0.10252213291013208
-585.8585858585859,0.1055367547606701,0.10719060508841335
-545.4545454545455,0.11128420566486864,0.11270552190763315
-505.0505050505051,0.11672962296825486,0.1177574769372683
-464.64646464646466,0.1219906174489076,0.12240491271305214
-424.24242424242425,0.12697999036802074,0.12765752813146725
-383.83838383838383,0.13178640473112338,0.1320348493046638
-343.43434343434365,0.13555106503641304,0.1371116712922432
-303.03030303030323,0.13994548186868597,0.14185029057554108
-262.6262626262628,0.1454224991327389,0.14708527517782893
-222.2222222222224,0.15115576981148862,0.15250040025712452
-181.81818181818198,0.1561202217303006,0.15624951561438952
-141.41414141414157,0.1576277010455812,0.1575380299280951
-101.01010101010115,0.15704805107954453,0.15661935285589323
-60.60606060606074,0.15442350946898076,0.1537639663894612
-20.20202020202032,0.15152407746337657,0.1507849421088262
20.202020202020094,0.15164862147753216,0.1509139418899675
60.60606060606051,0.1537340481883705,0.15288259161547252
101.0101010101007,0.15656074391979274,0.15466826158468927
141.41414141414134,0.15837347510247105,0.15616669667375477
181.81818181818153,0.15596368340951317,0.15377751299216705
222.22222222222217,0.15121355071215062,0.1491301967935219
262.62626262626236,0.1447052918847249,0.1443259162987212
303.030303030303,0.1392682940102622,0.1394653130986086
343.4343434343432,0.13443294116791787,0.1355338195141189
383.83838383838383,0.13046940417980388,0.1321675692488419
424.242424242424,0.12643445243602874,0.12860666965453235
464.64646464646466,0.12117476382558405,0.12415174720482199
505.05050505050485,0.11647600204581479,0.11947097883538975
545.4545454545455,0.11182602412768665,0.1152556150288293
585.8585858585857,0.1065742241535871,0.10974370139264847
626.2626262626259,0.10144093712307566,0.1043037165799634
666.6666666666665,0.09606888613125307,0.09958656613946337
707.0707070707067,0.09125503502917624,0.09425186846837887
747.4747474747473,0.08699214142438204,0.08990808337667816
787.8787878787875,0.0836090488831039,0.08637971867389925
828.2828282828282,0.07963392023457674,0.08230557246024604
868.6868686868684,0.07658112010804649,0.07907973203368387
909.090909090909,0.0736775750495566,0.07552340283463883
949.4949494949492,0.07018924136595564,0.07298230006436092
989.8989898989898,0.06703434091296077,0.07045868382036923
1030.30303030303,0.06383816157346266,0.06791822962933843
1070.7070707070707,0.06072743136468076,0.06590013703378018
1111.1111111111109,0.05781288945934195,0.06300163660950364
1151.5151515151515,0.055569202988301626,0.06055751408952678
1191.9191919191917,0.05417465507378216,0.05846441813818752
1232.3232323232323,0.05223970882596593,0.05583972427113347
1272.7272727272725,0.05037284581630095,0.054237874524141354
1313.1313131313127,0.04900236143894032,0.05216815221453879
1353.5353535353534,0.04765681493934109,0.05111019306332279
1393.9393939393935,0.046567303927057456,0.04954774005754046
1434.3434343434342,0.04531313692650699,0.047774565105075564
1474.7474747474744,0.044686758370225906,0.04731379721952576
1515.151515151515,0.04331806918384532,0.04664194621104959
1555.5555555555552,0.04223856465077953,0.04579532051038588
1595.9595959595958,0.04182018141897895,0.04552077246074765
1636.363636363636,0.04105393932595706,0.04420525371315896
1676.7676767676767,0.040382946288475795,0.043134036563009286
1717.1717171717169,0.03955346212932831,0.04245942044630098
1757.5757575757575,0.03875693393812552,0.041479994689911544
1797.9797979797977,0.037326468228498215,0.04107652728796886
1838.3838383838383,0.03663290337176892,0.04109631736930871
1878.7878787878785,0.036358406817500535,0.04034593920364814
1919.1919191919187,0.03568128432720008,0.03882772828217287
1959.5959595959594,0.0356069605161506,0.03800532074647458
2000.0,0.03524593719883824,0.03643446542338254
